"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.077468386E3,4.780175402E1,9.095852394E0,5.303080597E2,0.000000000E0,2.344921875E2,5.000000000E0,5.000000000E0
1.078468388E3,4.780175402E1,9.095852394E0,5.305067902E2,0.000000000E0,2.344921875E2,5.000000000E0,5.000000000E0
1.079468391E3,4.780175402E1,9.095852394E0,5.307584991E2,0.000000000E0,2.344921875E2,1.000000000E1,1.000000000E1
1.080468394E3,4.780175402E1,9.095852394E0,5.324450226E2,0.000000000E0,2.344921875E2,1.000000000E1,1.000000000E1
1.081468397E3,4.780175402E1,9.095852394E0,5.321515656E2,0.000000000E0,2.344921875E2,1.000000000E1,1.000000000E1
1.082468400E3,4.780175402E1,9.095852394E0,5.317075958E2,0.000000000E0,2.344921875E2,1.000000000E1,1.000000000E1
1.083468403E3,4.780175402E1,9.095852394E0,5.321447296E2,0.000000000E0,2.344921875E2,1.000000000E1,1.000000000E1
1.084468406E3,4.780175402E1,9.095852394E0,5.322665558E2,0.000000000E0,2.344921875E2,1.000000000E1,1.000000000E1
1.085468409E3,4.780175402E1,9.095852394E0,5.318150177E2,0.000000000E0,2.344921875E2,1.000000000E1,1.000000000E1
1.086468411E3,4.780175402E1,9.095852394E0,5.315460968E2,0.000000000E0,2.344921875E2,1.000000000E1,1.000000000E1
1.087468414E3,4.780175402E1,9.095852394E0,5.313686066E2,0.000000000E0,2.344921875E2,1.000000000E1,1.000000000E1
1.088468418E3,4.780175402E1,9.095852394E0,5.312366486E2,0.000000000E0,2.344921875E2,1.000000000E1,1.000000000E1
1.089468421E3,4.780175402E1,9.095852394E0,5.310624542E2,0.000000000E0,2.344921875E2,1.000000000E1,1.000000000E1
1.090468423E3,4.780175402E1,9.095852394E0,5.308742218E2,0.000000000E0,2.344921875E2,1.000000000E1,1.000000000E1
1.091468426E3,4.780175402E1,9.095852394E0,5.309110870E2,0.000000000E0,2.344921875E2,1.000000000E1,1.000000000E1
1.092468428E3,4.780175402E1,9.095852394E0,5.308939972E2,0.000000000E0,2.344921875E2,1.000000000E1,1.000000000E1
1.093468432E3,4.780175402E1,9.095852394E0,5.309774933E2,0.000000000E0,2.344921875E2,1.000000000E1,1.000000000E1
1.094468435E3,4.780175402E1,9.095852394E0,5.307138214E2,0.000000000E0,2.344921875E2,1.000000000E1,1.000000000E1
1.095468438E3,4.780175402E1,9.095852394E0,5.305668488E2,0.000000000E0,2.344921875E2,1.000000000E1,1.000000000E1
1.096468441E3,4.780175402E1,9.095852394E0,5.305522003E2,0.000000000E0,2.344921875E2,1.000000000E1,1.000000000E1
1.097468443E3,4.780175402E1,9.095852394E0,5.307987823E2,0.000000000E0,2.344921875E2,1.000000000E1,1.000000000E1
1.098468446E3,4.780175402E1,9.095852394E0,5.312577667E2,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.099468449E3,4.780175402E1,9.095852394E0,5.327233429E2,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.100468452E3,4.780175402E1,9.095852394E0,5.342296906E2,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.101468455E3,4.780175402E1,9.095852394E0,5.355500031E2,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.102468458E3,4.780175402E1,9.095852394E0,5.368290558E2,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.103468461E3,4.780175402E1,9.095852394E0,5.376452179E2,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.104468463E3,4.780175402E1,9.095852394E0,5.387482452E2,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.105468467E3,4.780175402E1,9.095852394E0,5.401477814E2,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.106468469E3,4.780175402E1,9.095852394E0,5.408295441E2,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.107468472E3,4.780175402E1,9.095852394E0,5.411291046E2,0.000000000E0,-1.000000000E0,1.000000000E1,1.000000000E1
1.108468475E3,4.780176701E1,9.095856249E0,5.419878693E2,5.799999833E-1,4.535156250E1,1.000000000E1,1.000000000E1
1.109468478E3,4.780177569E1,9.095867230E0,5.315866241E2,9.599999785E-1,4.078125000E1,1.000000000E1,1.000000000E1
1.110468481E3,4.780177695E1,9.095881227E0,5.335863800E2,9.599999785E-1,4.605468750E1,1.000000000E1,1.000000000E1
1.111468484E3,4.780177695E1,9.095881227E0,5.330966339E2,0.000000000E0,1.128515625E2,1.000000000E1,1.000000000E1
1.112468487E3,4.780177695E1,9.095881227E0,5.348186798E2,0.000000000E0,1.128515625E2,1.000000000E1,1.000000000E1
1.113468489E3,4.780177695E1,9.095881227E0,5.344958038E2,0.000000000E0,1.128515625E2,1.000000000E1,1.000000000E1
1.114468493E3,4.780174908E1,9.095932692E0,5.344623566E2,5.099999905E-1,7.347656250E1,1.000000000E1,1.000000000E1
1.115468495E3,4.780174405E1,9.095940655E0,5.343395538E2,5.099999905E-1,1.117968750E2,1.000000000E1,1.000000000E1
1.116468498E3,4.780174032E1,9.095948199E0,5.342904816E2,5.400000215E-1,1.125000000E2,1.000000000E1,1.000000000E1
1.117468501E3,4.780173718E1,9.095956245E0,5.346830597E2,6.299999952E-1,1.188281250E2,1.000000000E1,1.000000000E1
1.118468504E3,4.780173462E1,9.095964963E0,5.350618439E2,6.299999952E-1,1.181250000E2,1.000000000E1,1.000000000E1
1.119468507E3,4.780173462E1,9.095964963E0,5.352459259E2,0.000000000E0,1.181250000E2,1.000000000E1,1.000000000E1
1.120468510E3,4.780173462E1,9.095964963E0,5.352895050E2,0.000000000E0,1.181250000E2,1.000000000E1,1.000000000E1
1.121468513E3,4.780173303E1,9.095986504E0,5.358612823E2,4.000000060E-1,1.181250000E2,1.000000000E1,1.000000000E1
1.122468516E3,4.780173244E1,9.095995808E0,5.351806183E2,5.400000215E-1,1.181250000E2,1.000000000E1,1.000000000E1
1.123468518E3,4.780173156E1,9.096005028E0,5.346046906E2,5.099999905E-1,1.181250000E2,1.000000000E1,1.000000000E1
1.124468522E3,4.780173127E1,9.096015086E0,5.340404816E2,5.400000215E-1,1.181250000E2,1.000000000E1,1.000000000E1
1.125468524E3,4.780172766E1,9.096022462E0,5.348783722E2,4.399999976E-1,1.181250000E2,1.000000000E1,1.000000000E1
1.126468527E3,4.780172389E1,9.096025648E0,5.346615753E2,4.900000095E-1,1.181250000E2,1.000000000E1,1.000000000E1
1.127468531E3,4.780172133E1,9.096031012E0,5.354262238E2,4.900000095E-1,1.181250000E2,1.000000000E1,1.000000000E1
1.128468533E3,4.780171991E1,9.096039645E0,5.373310089E2,4.900000095E-1,1.181250000E2,1.000000000E1,1.000000000E1
1.129468536E3,4.780171664E1,9.096050290E0,5.395819855E2,7.300000191E-1,1.181250000E2,1.000000000E1,1.000000000E1
1.130468539E3,4.780171413E1,9.096061606E0,5.414220734E2,7.300000191E-1,1.181250000E2,5.000000000E0,5.000000000E0
1.131468542E3,4.780171153E1,9.096068647E0,5.361391144E2,5.699999928E-1,1.181250000E2,5.000000000E0,5.000000000E0
1.132468544E3,4.780170830E1,9.096077699E0,5.369510040E2,5.699999928E-1,1.093359375E2,5.000000000E0,5.000000000E0
1.133468547E3,4.780170495E1,9.096088596E0,5.365524445E2,7.200000286E-1,1.093359375E2,5.000000000E0,5.000000000E0
1.134468551E3,4.780170206E1,9.096094882E0,5.369484406E2,7.200000286E-1,1.093359375E2,5.000000000E0,5.000000000E0
1.135468553E3,4.780169820E1,9.096097145E0,5.371944122E2,5.600000024E-1,1.093359375E2,5.000000000E0,5.000000000E0
1.136468556E3,4.780169460E1,9.096099911E0,5.362526398E2,5.000000000E-1,1.089843750E2,5.000000000E0,5.000000000E0
1.137468559E3,4.780169439E1,9.096100163E0,5.346022491E2,4.199999869E-1,1.082812500E2,5.000000000E0,5.000000000E0
1.138468562E3,4.780169518E1,9.096098989E0,5.335661163E2,4.199999869E-1,1.082812500E2,5.000000000E0,5.000000000E0
1.139468565E3,4.780169564E1,9.096096726E0,5.338105011E2,3.100000024E-1,1.079296875E2,5.000000000E0,5.000000000E0
1.140468568E3,4.780169351E1,9.096094547E0,5.346519318E2,3.100000024E-1,1.079296875E2,5.000000000E0,5.000000000E0
1.141468570E3,4.780169137E1,9.096095636E0,5.347563019E2,5.000000000E-1,1.075781250E2,5.000000000E0,5.000000000E0
1.142468574E3,4.780169137E1,9.096095636E0,5.347962189E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.143468576E3,4.780169137E1,9.096095636E0,5.359337921E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.144468580E3,4.780169137E1,9.096095636E0,5.365004425E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.145468582E3,4.780169137E1,9.096095636E0,5.367436066E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.146468585E3,4.780169137E1,9.096095636E0,5.362677765E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.147468588E3,4.780169137E1,9.096095636E0,5.356370392E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.148468591E3,4.780169137E1,9.096095636E0,5.354945831E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.149468594E3,4.780169137E1,9.096095636E0,5.354254913E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.150468597E3,4.780169137E1,9.096095636E0,5.346602325E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.151468599E3,4.780169137E1,9.096095636E0,5.339633331E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.152468603E3,4.780169137E1,9.096095636E0,5.339715118E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.153468605E3,4.780169137E1,9.096095636E0,5.340788116E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.154468609E3,4.780169137E1,9.096095636E0,5.337804718E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.155468611E3,4.780169137E1,9.096095636E0,5.336903839E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.156468614E3,4.780169137E1,9.096095636E0,5.337262726E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.157468617E3,4.780169137E1,9.096095636E0,5.334367218E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.158468620E3,4.780169137E1,9.096095636E0,5.334828644E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.159468675E3,4.780169137E1,9.096095636E0,5.328491974E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.160468625E3,4.780169137E1,9.096095636E0,5.328983917E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.161468629E3,4.780169137E1,9.096095636E0,5.329040070E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.162468631E3,4.780169137E1,9.096095636E0,5.337835236E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.163468634E3,4.780169137E1,9.096095636E0,5.331137238E2,0.000000000E0,1.075781250E2,5.000000000E0,5.000000000E0
1.164467253E3,4.780173550E1,9.096124889E0,5.323131866E2,5.699999928E-1,5.695312500E1,5.000000000E0,5.000000000E0
1.165467249E3,4.780175004E1,9.096131762E0,5.330304718E2,5.699999928E-1,2.882812500E1,5.000000000E0,5.000000000E0
1.166467238E3,4.780176525E1,9.096136121E0,5.329779816E2,4.399999976E-1,2.320312500E1,5.000000000E0,5.000000000E0
1.167467228E3,4.780177984E1,9.096141066E0,5.328803253E2,4.799999893E-1,1.863281250E1,5.000000000E0,5.000000000E0
1.168467218E3,4.780179149E1,9.096145760E0,5.335617218E2,2.300000042E-1,1.072265625E2,5.000000000E0,5.000000000E0
1.169467211E3,4.780180176E1,9.096152214E0,5.337877960E2,3.799999952E-1,3.867187500E0,5.000000000E0,5.000000000E0
