"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.515900210E-1,9.314061999E-1,9.729516029E0,-9.571290575E-3,9.774000782E0
5.540960630E-1,9.314061999E-1,9.741479874E0,4.785645287E-3,9.785906731E0
5.566021040E-1,9.146564603E-1,9.767801285E0,1.914258115E-2,9.810550689E0
5.591081460E-1,8.524430394E-1,9.767801285E0,5.742774159E-2,9.805095564E0
5.616141880E-1,7.875377536E-1,9.782157898E0,1.268195957E-1,9.814627454E0
5.641202290E-1,7.468597889E-1,9.813264847E0,1.459621787E-1,9.842726830E0
5.666262710E-1,7.181459069E-1,9.798908234E0,1.028913707E-1,9.825727594E0
5.691323130E-1,6.822535396E-1,9.779765129E0,4.785645381E-2,9.803650652E0
5.716383540E-1,6.439684033E-1,9.772586823E0,4.785645287E-3,9.793782283E0
5.741443960E-1,6.559324861E-1,9.743872643E0,-2.153540403E-2,9.765949277E0
5.766504380E-1,6.631109715E-1,9.739087105E0,-4.067798331E-2,9.761720570E0
5.791564790E-1,7.181459069E-1,9.731908798E0,-4.785645381E-2,9.758487211E0
5.816625210E-1,7.683951855E-1,9.712766647E0,-5.503492057E-2,9.743269264E0
5.841685630E-1,7.636095285E-1,9.712766647E0,-5.982056633E-2,9.742921223E0
5.866745520E-1,7.612167001E-1,9.700801849E0,-3.828516230E-2,9.730697464E0
5.891805940E-1,7.468597889E-1,9.724730492E0,-4.067798331E-2,9.753452588E0
5.916866360E-1,7.301099896E-1,9.748658180E0,-5.024927482E-2,9.776089295E0
5.941926770E-1,6.990033388E-1,9.772586823E0,-4.307080805E-2,9.797648390E0
5.966987190E-1,7.061817646E-1,9.774979591E0,-3.589234129E-2,9.800520749E0
5.992047610E-1,7.157530785E-1,9.772586823E0,-4.067798331E-2,9.798847400E0
6.017108020E-1,6.870391965E-1,9.755837440E0,-5.982056633E-2,9.780182285E0
6.042168440E-1,6.415755749E-1,9.719944954E0,-8.374879509E-2,9.741455897E0
6.067228860E-1,6.176473498E-1,9.722337723E0,-1.483550072E-1,9.743066676E0
6.092289270E-1,5.985047817E-1,9.727123260E0,-1.914258152E-1,9.747398563E0
6.117349690E-1,5.841478109E-1,9.736694336E0,-2.536391914E-1,9.757498557E0
6.142410110E-1,5.554339290E-1,9.753444672E0,-2.775674164E-1,9.773189525E0
6.167470520E-1,5.506483316E-1,9.746265411E0,-3.329014480E-1,9.767483116E0
6.192530940E-1,5.458626747E-1,9.743872643E0,-3.640081584E-1,9.765936825E0
6.217591360E-1,5.602195859E-1,9.755837440E0,-3.879363835E-1,9.779606576E0
6.242651770E-1,5.889334679E-1,9.743872643E0,-4.046861231E-1,9.770039281E0
6.267712190E-1,6.176473498E-1,9.736694336E0,-4.070789516E-1,9.764753869E0
6.292772610E-1,6.798607111E-1,9.717552185E0,-4.094717801E-1,9.749907599E0
6.317833020E-1,7.420741320E-1,9.727123260E0,-4.046861231E-1,9.763778562E0
6.342892920E-1,7.755736113E-1,9.753444672E0,-4.094717801E-1,9.792796563E0
6.367953340E-1,8.018946648E-1,9.774979591E0,-3.999004960E-1,9.815965641E0
6.393013750E-1,8.138588071E-1,9.784550667E0,-3.927220106E-1,9.826190945E0
6.418074170E-1,8.186444640E-1,9.798908234E0,-3.831507266E-1,9.840507396E0
6.443134590E-1,8.042874932E-1,9.784550667E0,-3.496512175E-1,9.823775552E0
6.468195000E-1,7.923234105E-1,9.770194054E0,-3.544368446E-1,9.808674411E0
6.493255420E-1,7.731808424E-1,9.753444672E0,-3.472583890E-1,9.790203265E0
6.518315840E-1,7.540382147E-1,9.729516029E0,-3.711866140E-1,9.765748066E0
