"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.221645940E-1,5.745765567E-1,7.697112083E0,5.879763603E0,9.702952781E0
3.246706880E-1,5.267201066E-1,7.699504852E0,5.867799282E0,9.694889244E0
3.271767300E-1,4.980062246E-1,7.699504852E0,5.860620975E0,9.689027990E0
3.296827710E-1,4.621138871E-1,7.687541008E0,5.872584820E0,9.684992951E0
3.321888650E-1,4.286143482E-1,7.689933777E0,5.889334679E0,9.695517248E0
3.346949070E-1,3.927220106E-1,7.680362701E0,5.918347836E0,9.704073521E0
3.372009490E-1,3.735794425E-1,7.661220074E0,5.923133373E0,9.691097130E0
3.397070420E-1,3.616153300E-1,7.658827305E0,5.918347836E0,9.685826884E0
3.422130840E-1,3.520440459E-1,7.656434059E0,5.935097694E0,9.693828044E0
3.447191260E-1,3.711866140E-1,7.644470215E0,5.947061539E0,9.692432373E0
3.472252190E-1,3.879363835E-1,7.646862984E0,5.925526142E0,9.681780218E0
3.497312610E-1,4.046861231E-1,7.654041290E0,5.925526142E0,9.688135992E0
3.522373030E-1,4.453641176E-1,7.670791149E0,5.937490463E0,9.710467499E0
3.547433960E-1,4.788636267E-1,7.675576687E0,5.930311680E0,9.711456352E0
3.572494380E-1,5.243272781E-1,7.677969456E0,5.942276001E0,9.723002526E0
3.597554800E-1,5.626124144E-1,7.675576687E0,5.956633091E0,9.732034113E0
3.622615740E-1,5.937191248E-1,7.673183918E0,5.985346794E0,9.749596406E0
3.647676150E-1,6.391827464E-1,7.685148239E0,5.994917870E0,9.767758100E0
3.672736570E-1,6.870391965E-1,7.692326546E0,6.006882191E0,9.783994286E0
3.697797510E-1,7.277171612E-1,7.692326546E0,6.026024818E0,9.798695580E0
3.722857920E-1,7.683951855E-1,7.704290867E0,6.049952984E0,9.825907593E0
3.747918340E-1,8.162516356E-1,7.704290867E0,6.049952984E0,9.829765796E0
3.772979280E-1,8.691928387E-1,7.711469173E0,6.061916828E0,9.847288390E0
3.798039690E-1,9.002995491E-1,7.728219032E0,6.057131290E0,9.860261059E0
3.823100110E-1,9.290133715E-1,7.718647480E0,6.066702843E0,9.861311685E0
3.848161050E-1,9.385846853E-1,7.718647480E0,6.069095612E0,9.863690064E0
3.873221460E-1,9.433703423E-1,7.728219032E0,6.073881149E0,9.874580965E0
3.898281880E-1,9.361918569E-1,7.725826263E0,6.078666687E0,9.874970144E0
3.923342820E-1,9.122636318E-1,7.749754429E0,6.064310074E0,9.882650217E0
3.948403240E-1,8.955138922E-1,7.759325504E0,6.054738522E0,9.882759533E0
3.973463650E-1,8.620143533E-1,7.776075363E0,6.021239281E0,9.872473817E0
3.998524590E-1,8.353942037E-1,7.814360619E0,6.004489422E0,9.890197600E0
4.023585010E-1,8.186444640E-1,7.809575081E0,5.985346794E0,9.873399513E0
4.048645940E-1,7.995018363E-1,7.821538925E0,5.982954025E0,9.879848846E0
4.073706360E-1,7.660023570E-1,7.852645874E0,5.987739563E0,9.904737852E0
4.098766780E-1,7.516453862E-1,7.857431412E0,5.978168488E0,9.901651258E0
4.123827710E-1,7.588238716E-1,7.874181271E0,5.980561256E0,9.916937899E0
4.148888130E-1,7.588238716E-1,7.876574039E0,5.990132332E0,9.924611711E0
4.173948550E-1,7.396813035E-1,7.864609718E0,5.992525101E0,9.915118332E0
4.199009490E-1,7.037889361E-1,7.876574039E0,6.004489422E0,9.929231122E0
4.224069900E-1,6.894320250E-1,7.857431412E0,6.009274960E0,9.915943245E0
4.249130320E-1,6.798607111E-1,7.843074322E0,5.992525101E0,9.893754721E0
4.274191260E-1,6.702894568E-1,7.826324463E0,5.970989704E0,9.866780660E0
4.299251670E-1,6.607181430E-1,7.826324463E0,5.949454308E0,9.853116747E0
4.324312090E-1,6.774678826E-1,7.838288784E0,5.930311680E0,9.852224643E0
4.349373030E-1,6.846463680E-1,7.840681553E0,5.923133373E0,9.850306433E0
4.374433440E-1,6.966105103E-1,7.835896015E0,5.918347836E0,9.844459034E0
4.399493860E-1,7.229315639E-1,7.857431412E0,5.908776283E0,9.857763215E0
4.424554800E-1,7.277171612E-1,7.867002487E0,5.925526142E0,9.875786574E0
4.449615210E-1,7.564310431E-1,7.867002487E0,5.947061539E0,9.890877464E0
