"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.283343910E-1,4.070789516E-1,6.985845566E0,6.837490559E0,9.783610207E0
2.308905890E-1,4.310071766E-1,6.988238335E0,6.825526714E0,9.777988399E0
2.334467860E-1,4.405784607E-1,7.002595425E0,6.806384087E0,9.775342265E0
2.360029840E-1,4.501497746E-1,6.990631580E0,6.787241459E0,9.753881860E0
2.385591820E-1,4.788636267E-1,6.983452797E0,6.772884369E0,9.740117351E0
2.411153800E-1,4.764707983E-1,6.973881721E0,6.772884369E0,9.733139954E0
2.436715780E-1,4.764707983E-1,6.954739094E0,6.748956203E0,9.702774352E0
2.462277760E-1,5.003990531E-1,6.952346325E0,6.717849731E0,9.680652026E0
2.487839740E-1,5.027918816E-1,6.947560310E0,6.696314335E0,9.662402373E0
2.513401720E-1,5.003990531E-1,6.935596466E0,6.669992924E0,9.635439956E0
2.538963700E-1,5.051847100E-1,6.918846607E0,6.646064758E0,9.607071705E0
2.564525680E-1,4.908277392E-1,6.918846607E0,6.631708145E0,9.596400532E0
2.590061090E-1,5.051847100E-1,6.909275532E0,6.641279221E0,9.596868742E0
2.615346510E-1,5.003990531E-1,6.914061069E0,6.665207386E0,9.616632944E0
2.640407450E-1,5.123631358E-1,6.894918442E0,6.681957245E0,9.615142689E0
2.665468910E-1,5.195416212E-1,6.914061069E0,6.720242500E0,9.655869885E0
2.690529840E-1,5.338985324E-1,6.930810928E0,6.760920525E0,9.696970357E0
2.715590780E-1,5.506483316E-1,6.928418159E0,6.789634228E0,9.716240257E0
2.740651720E-1,5.673980713E-1,6.935596466E0,6.825526714E0,9.747422933E0
2.765712660E-1,5.650052428E-1,6.961917400E0,6.854240417E0,9.786119584E0
2.790773590E-1,5.697908998E-1,6.959524632E0,6.897311211E0,9.814914503E0
2.815835050E-1,5.458626747E-1,6.954739094E0,6.952346325E0,9.848933005E0
2.840895990E-1,5.386841893E-1,6.964310169E0,6.985845566E0,9.878959209E0
