"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.881349000E-1,2.584248483E-1,9.791728973E0,1.172483116E-1,9.795840283E0
2.906408380E-1,2.946162820E-1,9.803693771E0,1.124626622E-1,9.808764355E0
2.931468790E-1,3.065803945E-1,9.820742607E0,9.332008660E-2,9.825969954E0
2.956528690E-1,3.424727321E-1,9.803693771E0,7.417750359E-2,9.809954202E0
2.981588060E-1,3.568296731E-1,9.782157898E0,4.785645381E-2,9.788780864E0
3.006647440E-1,3.520440459E-1,9.746265411E0,3.589234129E-2,9.752687462E0
3.031707850E-1,3.496512175E-1,9.703194618E0,2.392822690E-2,9.709521839E0
3.056767750E-1,3.305086195E-1,9.676874161E0,4.785645381E-2,9.682634957E0
3.081827650E-1,3.400799036E-1,9.674481392E0,8.135596663E-2,9.680798693E0
3.106887020E-1,3.376871049E-1,9.672088623E0,1.579262912E-1,9.679270201E0
3.131946400E-1,3.233301640E-1,9.693623543E0,2.464607358E-1,9.702145262E0
3.157006810E-1,3.496512175E-1,9.729516029E0,3.185445070E-1,9.741006557E0
3.182066710E-1,3.376871049E-1,9.760622978E0,3.927220106E-1,9.774355430E0
3.207126080E-1,3.352942765E-1,9.779765129E0,4.884349108E-1,9.797693448E0
3.232185460E-1,3.305086195E-1,9.767801285E0,5.745765567E-1,9.790266396E0
3.257245880E-1,3.065803945E-1,9.789336205E0,6.176473498E-1,9.813591754E0
3.282305770E-1,2.608176768E-1,9.767801285E0,6.224330068E-1,9.791087307E0
3.307365670E-1,1.794617027E-1,9.736694336E0,5.961119533E-1,9.756575862E0
3.332425040E-1,1.076770201E-1,9.712766647E0,5.482555032E-1,9.728823895E0
3.357484420E-1,5.742774159E-2,9.710372925E0,4.668995142E-1,9.721760923E0
3.382544830E-1,3.828516230E-2,9.696016312E0,3.376871049E-1,9.701970452E0
3.407604730E-1,5.264209956E-2,9.679266930E0,2.297109663E-1,9.682135437E0
3.432664630E-1,6.699903309E-2,9.705587387E0,1.339980662E-1,9.706743578E0
3.457724000E-1,5.982056633E-2,9.724730492E0,5.742774159E-2,9.725084040E0
3.482783380E-1,5.024927482E-2,9.743872643E0,1.435693540E-2,9.744012787E0
3.507843790E-1,6.221338734E-2,9.751050949E0,-1.674975827E-2,9.751263799E0
3.532903690E-1,8.614161611E-2,9.753444672E0,-3.828516230E-2,9.753900199E0
3.557963580E-1,1.124626622E-1,9.765408516E0,-5.742774159E-2,9.766224925E0
3.583022960E-1,1.292124242E-1,9.748658180E0,-6.221338734E-2,9.749712953E0
3.608082330E-1,1.459621787E-1,9.724730492E0,-8.374879509E-2,9.726186403E0
3.633142750E-1,1.316052526E-1,9.719944954E0,-9.810572863E-2,9.721330906E0
3.658202650E-1,1.052841991E-1,9.731908798E0,-9.810572863E-2,9.732972740E0
3.683262020E-1,1.052841991E-1,9.765408516E0,-5.982056633E-2,9.766159263E0
3.708321400E-1,7.657032460E-2,9.777372360E0,2.392822644E-3,9.777672474E0
3.733381810E-1,2.632104978E-2,9.808479309E0,5.024927482E-2,9.808643339E0
3.758441710E-1,-3.828516230E-2,9.835099220E0,8.135596663E-2,9.835510217E0
3.783501080E-1,-8.374879509E-2,9.861420631E0,7.896314561E-2,9.862092370E0
3.808560460E-1,-1.363908947E-1,9.844670296E0,3.110669367E-2,9.845664190E0
3.833620880E-1,-1.339980662E-1,9.851848602E0,-5.264209956E-2,9.852900464E0
3.858680770E-1,-1.220339537E-1,9.837491989E0,-1.363908947E-1,9.839194245E0
3.883740670E-1,-9.332008660E-2,9.820742607E0,-2.057827413E-1,9.823341617E0
3.908800040E-1,-4.307080805E-2,9.825528145E0,-2.584248483E-1,9.829020390E0
3.933859420E-1,-2.392822644E-3,9.827920914E0,-2.970091105E-1,9.832408129E0
3.958919830E-1,3.589234129E-2,9.823135376E0,-3.185445070E-1,9.828364436E0
3.983979730E-1,6.221338734E-2,9.825528145E0,-2.775674164E-1,9.829644831E0
4.009039630E-1,1.220339537E-1,9.813264847E0,-2.512463629E-1,9.817239122E0
4.034099000E-1,1.483550072E-1,9.782157898E0,-1.818545163E-1,9.784972837E0
4.059158380E-1,1.770688742E-1,9.763015747E0,-1.004985496E-1,9.765138495E0
4.084218790E-1,1.722832322E-1,9.748658180E0,-1.435693540E-2,9.750190970E0
4.109278690E-1,1.914258152E-1,9.734301567E0,8.135596663E-2,9.736523488E0
4.134338060E-1,2.081755698E-1,9.703194618E0,1.842473447E-1,9.707176209E0
4.159397440E-1,2.344966233E-1,9.719944954E0,2.799602449E-1,9.726802985E0
4.184457850E-1,2.898306549E-1,9.751050949E0,3.592225015E-1,9.761968922E0
4.209517750E-1,3.161516786E-1,9.777372360E0,4.046861231E-1,9.790849453E0
4.234577650E-1,3.640081584E-1,9.786943436E0,4.357928336E-1,9.803401407E0
4.259637020E-1,3.711866140E-1,9.779765129E0,4.477569461E-1,9.797044032E0
4.284696400E-1,3.831507266E-1,9.765408516E0,4.621138871E-1,9.783841638E0
4.309756810E-1,3.616153300E-1,9.743872643E0,4.764707983E-1,9.762215125E0
4.334816710E-1,3.329014480E-1,9.727123260E0,4.860421121E-1,9.744946754E0
4.359876080E-1,3.041875660E-1,9.722337723E0,5.147559643E-1,9.740706061E0
4.384935460E-1,2.679961324E-1,9.743872643E0,5.410770178E-1,9.762563205E0
4.409995880E-1,2.177468538E-1,9.698409081E0,5.434698462E-1,9.716064628E0
4.435055770E-1,1.076770201E-1,9.602696419E0,5.386841893E-1,9.618396618E0
4.460115670E-1,-2.871387079E-2,9.521340370E0,5.291129351E-1,9.536074005E0
4.485175560E-1,-1.292124242E-1,9.545269012E0,4.956133962E-1,9.559000419E0
4.510234940E-1,-1.674975902E-1,9.607481956E0,4.501497746E-1,9.619480225E0
4.535294310E-1,-1.603191197E-1,9.674481392E0,3.975076675E-1,9.683971539E0
4.560354730E-1,-1.268195957E-1,9.739087105E0,3.472583890E-1,9.746101232E0
4.585414630E-1,-7.657032460E-2,9.767801285E0,3.329014480E-1,9.773772472E0
4.610474000E-1,1.674975827E-2,9.786943436E0,3.065803945E-1,9.791758469E0
4.635533380E-1,1.028913707E-1,9.794121742E0,2.344966233E-1,9.797468857E0
4.660593790E-1,1.962114573E-1,9.746265411E0,1.627119333E-1,9.749598124E0
4.685653690E-1,2.368894368E-1,9.731908798E0,8.853443712E-2,9.735194082E0
4.710713580E-1,2.727817893E-1,9.705587387E0,1.914258115E-2,9.709438855E0
4.735772960E-1,2.584248483E-1,9.600303650E0,-2.153540403E-2,9.603805358E0
4.760832330E-1,1.914258152E-1,9.526125908E0,-3.349951655E-2,9.528107938E0
4.785892750E-1,1.052841991E-1,9.521340370E0,-5.982056633E-2,9.522110360E0
4.810952650E-1,3.589234129E-2,9.593125343E0,-6.939185411E-2,9.593443456E0
4.836012020E-1,-4.785645287E-3,9.672088623E0,-7.896314561E-2,9.672412130E0
4.861071400E-1,1.674975827E-2,9.755837440E0,-8.374879509E-2,9.756211282E0
4.886131810E-1,5.503492057E-2,9.818050385E0,-1.363908947E-1,9.819151932E0
4.911191710E-1,6.699903309E-2,9.830313683E0,-1.914258152E-1,9.832405596E0
4.936251600E-1,8.135596663E-2,9.813264847E0,-2.536391914E-1,9.816879269E0
4.961310980E-1,1.052841991E-1,9.789336205E0,-3.089732230E-1,9.794776799E0
4.986370350E-1,1.339980662E-1,9.779765129E0,-3.496512175E-1,9.786930951E0
5.011430770E-1,1.459621787E-1,9.751050949E0,-3.807578981E-1,9.759573564E0
5.036490670E-1,1.531406492E-1,9.736694336E0,-3.903291821E-1,9.745718317E0
5.061550560E-1,1.531406492E-1,9.724730492E0,-3.735794425E-1,9.733108280E0
5.086609940E-1,1.387837082E-1,9.734301567E0,-3.711866140E-1,9.742364570E0
5.111669310E-1,1.387837082E-1,9.755837440E0,-3.855435550E-1,9.764438996E0
5.136729730E-1,1.196411327E-1,9.767801285E0,-4.262215197E-1,9.777828017E0
5.161789630E-1,1.004985496E-1,9.777372360E0,-4.836492836E-1,9.789843046E0
5.186849000E-1,6.699903309E-2,9.786943436E0,-5.673980713E-1,9.803606033E0
5.211908380E-1,4.067798331E-2,9.813264847E0,-5.961119533E-1,9.831437896E0
5.236968790E-1,1.196411345E-2,9.827920914E0,-6.200401783E-1,9.847467819E0
5.262028690E-1,-2.871387079E-2,9.815657616E0,-6.559324861E-1,9.837591491E0
5.287088580E-1,-5.982056633E-2,9.794121742E0,-6.846463680E-1,9.818204513E0
5.312147960E-1,-9.332008660E-2,9.774979591E0,-6.918248534E-1,9.799875320E0
5.337207330E-1,-1.244267747E-1,9.736694336E0,-7.109674215E-1,9.763409921E0
5.362267750E-1,-1.435693651E-1,9.703194618E0,-7.492526174E-1,9.733138109E0
5.387327650E-1,-1.483550072E-1,9.686445236E0,-7.707880139E-1,9.718196576E0
5.412387540E-1,-1.124626622E-1,9.700801849E0,-7.875377536E-1,9.733366328E0
5.437446920E-1,-4.067798331E-2,9.743872643E0,-8.042874932E-1,9.777095026E0
5.462506290E-1,4.785645381E-2,9.767801285E0,-8.066803217E-1,9.801171630E0
5.487566710E-1,1.363908947E-1,9.813264847E0,-7.851449251E-1,9.845568647E0
5.512626600E-1,2.129612118E-1,9.825528145E0,-7.540382147E-1,9.856720014E0
5.537685980E-1,2.727817893E-1,9.813264847E0,-6.894320250E-1,9.841234342E0
5.562745350E-1,3.137588799E-1,9.794121742E0,-5.937191248E-1,9.817116060E0
5.587805770E-1,3.520440459E-1,9.760622978E0,-5.147559643E-1,9.780525018E0
5.612865670E-1,3.927220106E-1,9.748658180E0,-4.429712892E-1,9.766616121E0
5.637925560E-1,4.238287210E-1,9.758230209E0,-3.640081584E-1,9.774210431E0
5.662984940E-1,4.549354017E-1,9.758230209E0,-2.850449979E-1,9.772986938E0
5.688044310E-1,4.836492836E-1,9.767801285E0,-2.703889608E-1,9.783504932E0
5.713104730E-1,4.956133962E-1,9.770194054E0,-2.826521695E-1,9.786838955E0
5.738164630E-1,5.099703074E-1,9.786943436E0,-3.209373355E-1,9.805474609E0
5.763224000E-1,5.482555032E-1,9.808479309E0,-3.640081584E-1,9.830531643E0
5.788283380E-1,5.913262963E-1,9.825528145E0,-4.214358926E-1,9.852323499E0
5.813343790E-1,5.817549825E-1,9.818050385E0,-4.525425732E-1,9.845676564E0
5.838403690E-1,5.626124144E-1,9.806086540E0,-4.692923427E-1,9.833417578E0
5.863463580E-1,5.458626747E-1,9.786943436E0,-4.716851711E-1,9.813496562E0
5.888522960E-1,5.099703074E-1,9.765408516E0,-4.525425732E-1,9.789181170E0
5.913582330E-1,4.645066857E-1,9.758230209E0,-4.238287210E-1,9.778468902E0
5.938642750E-1,4.046861231E-1,9.765408516E0,-3.927220106E-1,9.781676999E0
5.963702650E-1,3.711866140E-1,9.767801285E0,-3.137588799E-1,9.779885791E0
5.988762540E-1,3.400799036E-1,9.772586823E0,-2.679961324E-1,9.782174067E0
6.013821920E-1,3.209373355E-1,9.770194054E0,-2.608176768E-1,9.778942605E0
6.038881290E-1,2.922234535E-1,9.753444672E0,-2.344966233E-1,9.760638615E0
6.063941710E-1,2.850449979E-1,9.739087105E0,-2.416750938E-1,9.746254416E0
6.089001600E-1,2.898306549E-1,9.715159416E0,-2.560320199E-1,9.722853320E0
6.114061500E-1,3.161516786E-1,9.712766647E0,-2.826521695E-1,9.722020370E0
6.139120880E-1,3.496512175E-1,9.719944954E0,-3.017947674E-1,9.730912905E0
6.164180250E-1,4.022932947E-1,9.734301567E0,-3.472583890E-1,9.748797633E0
6.189240670E-1,4.214358926E-1,9.760622978E0,-3.735794425E-1,9.776856894E0
6.214300560E-1,4.573282301E-1,9.786943436E0,-3.735794425E-1,9.804742349E0
6.239360460E-1,4.980062246E-1,9.815657616E0,-3.879363835E-1,9.835936115E0
6.264419830E-1,5.362913609E-1,9.820742607E0,-4.046861231E-1,9.843696696E0
6.289479210E-1,5.554339290E-1,9.827920914E0,-4.070789516E-1,9.852017540E0
6.314539630E-1,5.482555032E-1,9.820742607E0,-4.262215197E-1,9.845264559E0
