"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.790755240E-1,9.218349457E-1,9.372985840E0,2.470589399E0,9.736860644E0
3.815815650E-1,9.050851464E-1,9.392127991E0,2.480160713E0,9.756149060E0
3.840876070E-1,8.883354068E-1,9.425627708E0,2.489732027E0,9.789298395E0
3.865937010E-1,8.668000102E-1,9.439984322E0,2.484946251E0,9.799979802E0
3.890997420E-1,8.500502706E-1,9.444769859E0,2.468196630E0,9.798890639E0
3.916058360E-1,8.186444640E-1,9.449555397E0,2.444268227E0,9.794831449E0
3.941118780E-1,8.066803217E-1,9.463912964E0,2.429911375E0,9.804124184E0
3.966179720E-1,7.851449251E-1,9.468698502E0,2.403590441E0,9.800507685E0
3.991240130E-1,7.779664397E-1,9.444769859E0,2.389233351E0,9.773297575E0
4.016301070E-1,7.683951855E-1,9.442377090E0,2.391626120E0,9.770813261E0
4.041361490E-1,7.516453862E-1,9.449555397E0,2.420340061E0,9.783512355E0
4.066422420E-1,7.396813035E-1,9.432806015E0,2.434697151E0,9.769990172E0
4.091482840E-1,7.420741320E-1,9.423234940E0,2.461018085E0,9.767529921E0
4.116543780E-1,7.540382147E-1,9.428020477E0,2.480160713E0,9.777900639E0
4.141604200E-1,7.516453862E-1,9.411270142E0,2.484946251E0,9.762783124E0
4.166664610E-1,7.588238716E-1,9.408877373E0,2.492124796E0,9.762861931E0
4.191725550E-1,7.803592682E-1,9.425627708E0,2.513660192E0,9.786209984E0
4.216785970E-1,7.827520967E-1,9.447162628E0,2.525923491E0,9.810294188E0
4.241846900E-1,7.923234105E-1,9.473484039E0,2.525923491E0,9.836410204E0
4.266907320E-1,8.234301209E-1,9.478269577E0,2.537887573E0,9.846649414E0
4.291968260E-1,8.377870321E-1,9.516554832E0,2.564208508E0,9.891504853E0
4.317028670E-1,8.524430394E-1,9.518947601E0,2.573779821E0,9.897543389E0
4.342089610E-1,8.476574421E-1,9.516554832E0,2.597707987E0,9.901082052E0
4.367150030E-1,8.306085467E-1,9.499805450E0,2.592922449E0,9.882280151E0
4.392210970E-1,8.210372925E-1,9.478269577E0,2.571387053E0,9.855137127E0
4.417271380E-1,8.042874932E-1,9.454340935E0,2.542673111E0,9.823269691E0
4.442332320E-1,7.707880139E-1,9.408877373E0,2.533101797E0,9.774338458E0
4.467392740E-1,7.468597889E-1,9.370592117E0,2.520838737E0,9.732441837E0
4.492453670E-1,7.301099896E-1,9.339486122E0,2.516052961E0,9.699978563E0
4.517514090E-1,7.253243923E-1,9.341878891E0,2.549851656E0,9.710743543E0
4.542575030E-1,7.133602500E-1,9.325128555E0,2.542673111E0,9.691856993E0
4.567635450E-1,7.205387354E-1,9.325128555E0,2.535494804E0,9.690507342E0
4.592695860E-1,7.372884750E-1,9.334700584E0,2.537887573E0,9.701603096E0
4.617756800E-1,7.564310431E-1,9.358628273E0,2.535494804E0,9.725474023E0
4.642817220E-1,7.707880139E-1,9.375378609E0,2.564208508E0,9.750230945E0
4.667878150E-1,7.803592682E-1,9.380164146E0,2.573779821E0,9.758113679E0
4.692938570E-1,8.114659786E-1,9.413662910E0,2.571387053E0,9.792219248E0
4.717999510E-1,8.377870321E-1,9.439984322E0,2.552244425E0,9.814741092E0
4.743059920E-1,8.691928387E-1,9.442377090E0,2.518445730E0,9.811042259E0
4.768120860E-1,8.979067206E-1,9.439984322E0,2.511267424E0,9.809485437E0
4.793181280E-1,9.098708034E-1,9.420842171E0,2.511267424E0,9.792170145E0
4.818242220E-1,9.122636318E-1,9.423234940E0,2.511267424E0,9.794694775E0
4.843302630E-1,9.242277741E-1,9.413662910E0,2.499303341E0,9.783545552E0
4.868363570E-1,9.098708034E-1,9.392127991E0,2.477767944E0,9.755986217E0
4.893423990E-1,9.122636318E-1,9.389735222E0,2.456232548E0,9.748457868E0
4.918484920E-1,9.266205430E-1,9.396913528E0,2.425125837E0,9.748940702E0
4.943545340E-1,9.433703423E-1,9.406484604E0,2.405983210E0,9.755032312E0
4.968606280E-1,9.385846853E-1,9.396913528E0,2.408375978E0,9.745932481E0
4.993666700E-1,9.529415965E-1,9.416056633E0,2.408375978E0,9.765781846E0
5.018727630E-1,9.936196208E-1,9.423234940E0,2.403590441E0,9.775575875E0
5.043788050E-1,1.027119160E0,9.416056633E0,2.362912416E0,9.762195008E0
5.068848470E-1,1.074975610E0,9.420842171E0,2.343769789E0,9.767348493E0
5.093909400E-1,1.120439172E0,9.418449402E0,2.324627161E0,9.765575483E0
5.118969820E-1,1.132403374E0,9.442377090E0,2.338984251E0,9.793450354E0
5.144030760E-1,1.185045362E0,9.454340935E0,2.336591244E0,9.810634723E0
5.169091170E-1,1.213759303E0,9.487840652E0,2.358126640E0,9.851552829E0
5.194152110E-1,1.247258782E0,9.490233421E0,2.372483730E0,9.861483860E0
5.219212530E-1,1.249651670E0,9.497411728E0,2.374876499E0,9.869270349E0
5.244273470E-1,1.240080357E0,9.473484039E0,2.384447813E0,9.847349415E0
5.269333880E-1,1.223330617E0,9.456734657E0,2.410768747E0,9.835556625E0
5.294394820E-1,1.204187989E0,9.442377090E0,2.439482689E0,9.826475951E0
5.319455240E-1,1.177866936E0,9.411270142E0,2.458625317E0,9.798174046E0
5.344516170E-1,1.137188911E0,9.389735222E0,2.449054003E0,9.770270808E0
5.369576590E-1,1.125224829E0,9.377771378E0,2.437089920E0,9.754390509E0
5.394637530E-1,1.106082320E0,9.377771378E0,2.427518606E0,9.749813367E0
5.419697950E-1,1.089332461E0,9.375378609E0,2.437089920E0,9.748013980E0
5.444758360E-1,1.043868899E0,9.387342453E0,2.429911375E0,9.752760117E0
5.469819300E-1,1.019940615E0,9.401699066E0,2.434697151E0,9.765243182E0
5.494879720E-1,9.912267923E-1,9.411270142E0,2.456232548E0,9.776891866E0
5.519940650E-1,9.649057388E-1,9.418449402E0,2.451446772E0,9.779970526E0
5.545001070E-1,9.266205430E-1,9.442377090E0,2.451446772E0,9.799321508E0
5.570062010E-1,8.955138922E-1,9.471091270E0,2.420340061E0,9.816392463E0
5.595122420E-1,8.524430394E-1,9.468698502E0,2.396411896E0,9.804371496E0
5.620183360E-1,8.210372925E-1,9.487840652E0,2.377269268E0,9.815530126E0
5.645243780E-1,8.042874932E-1,9.483055115E0,2.386840582E0,9.811840839E0
5.670304720E-1,7.612167001E-1,9.466305733E0,2.415554523E0,9.799249907E0
5.695365130E-1,7.588238716E-1,9.466305733E0,2.417947292E0,9.799654433E0
5.720426070E-1,7.540382147E-1,9.461520195E0,2.391626120E0,9.788197665E0
5.745486490E-1,7.660023570E-1,9.461520195E0,2.377269268E0,9.785628911E0
5.770547420E-1,7.731808424E-1,9.459127426E0,2.386840582E0,9.786210106E0
5.795607840E-1,7.803592682E-1,9.454340935E0,2.394019127E0,9.783907741E0
5.820668780E-1,7.827520967E-1,9.454340935E0,2.425125837E0,9.791756670E0
5.845729200E-1,8.258228898E-1,9.456734657E0,2.461018085E0,9.806550048E0
5.870789610E-1,8.763712645E-1,9.437591553E0,2.475374937E0,9.796103408E0
5.895850550E-1,9.050851464E-1,9.439984322E0,2.453839540E0,9.795601646E0
5.920910970E-1,9.170492887E-1,9.428020477E0,2.432304144E0,9.779808432E0
5.945971900E-1,9.122636318E-1,9.459127426E0,2.408375978E0,9.803447937E0
5.971032320E-1,9.002995491E-1,9.478269577E0,2.398804665E0,9.818472247E0
5.996093260E-1,8.955138922E-1,9.480662346E0,2.379662037E0,9.815686174E0
6.021153670E-1,8.859425783E-1,9.516554832E0,2.389233351E0,9.851809282E0
6.046214610E-1,8.739784956E-1,9.526125908E0,2.398804665E0,9.862310938E0
6.071275030E-1,8.739784956E-1,9.497411728E0,2.413161755E0,9.838090140E0
6.096335970E-1,8.500502706E-1,9.492626190E0,2.417947292E0,9.832548325E0
6.121396380E-1,8.306085467E-1,9.449555397E0,2.413161755E0,9.788123284E0
6.146457320E-1,7.971090674E-1,9.420842171E0,2.401197433E0,9.754660383E0
6.171517740E-1,7.851449251E-1,9.408877373E0,2.391626120E0,9.739779333E0
6.196578670E-1,7.731808424E-1,9.382556915E0,2.403590441E0,9.716348588E0
6.221639610E-1,7.755736113E-1,9.365806580E0,2.434697151E0,9.708120185E0
6.246700030E-1,7.588238716E-1,9.344271660E0,2.463410854E0,9.693277029E0
6.271760450E-1,7.444669604E-1,9.353842735E0,2.468196630E0,9.702607875E0
6.296821380E-1,7.779664397E-1,9.351449966E0,2.472982168E0,9.704148034E0
6.321881800E-1,8.042874932E-1,9.349057198E0,2.468196630E0,9.702769886E0
6.346942220E-1,8.282157183E-1,9.351449966E0,2.461018085E0,9.705264951E0
6.372003150E-1,8.428717852E-1,9.382556915E0,2.439482689E0,9.731078198E0
