"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.717495916E1,-3.172284603E0,1.591107464E1,2.631207705E0,1.643620819E1
1.717746520E1,-3.727718592E0,1.622961807E1,3.567100286E0,1.702999099E1
1.717997125E1,-4.395615101E0,1.642822266E1,4.445864677E0,1.757764616E1
1.718247734E1,-5.168796062E0,1.650479317E1,5.166403294E0,1.805038430E1
1.718498338E1,-6.016453266E0,1.644975853E1,5.738586903E0,1.843159367E1
1.718748942E1,-6.916453838E0,1.632772446E1,6.210271835E0,1.878827815E1
1.718999547E1,-7.800003529E0,1.609562111E1,6.552744865E0,1.904855740E1
1.719250151E1,-8.635397911E0,1.583211136E1,6.847062111E0,1.929010385E1
1.719500760E1,-9.404091835E0,1.554257965E1,7.189534664E0,1.953709636E1
1.719751364E1,-1.008873844E1,1.524796295E1,7.661220074E0,1.982365533E1
1.720001968E1,-1.062981510E1,1.501107407E1,8.089534760E0,2.009392660E1
1.720252573E1,-1.102732277E1,1.481456280E1,8.290831566E0,2.024378933E1
1.720503182E1,-1.130489063E1,1.468056488E1,8.142476082E0,2.023905764E1
1.720753786E1,-1.143888855E1,1.459920883E1,7.622934818E0,2.005228678E1
1.721004390E1,-1.135274696E1,1.463988686E1,6.495316982E0,1.963161464E1
1.721255000E1,-1.093609715E1,1.488186169E1,4.309473515E0,1.896416595E1
1.721505604E1,-1.022034359E1,1.538914013E1,2.109273195E0,1.859381861E1
1.721756208E1,-9.346664429E0,1.596850204E1,1.517946839E0,1.856494967E1
1.722006812E1,-8.515756607E0,1.650479317E1,2.116451740E0,1.869239621E1
1.722257416E1,-7.694719315E0,1.692383575E1,2.477767944E0,1.875537939E1
1.722508026E1,-6.870990276E0,1.728784370E1,2.193022013E0,1.873204188E1
1.722758630E1,-6.014060497E0,1.763480377E1,1.371685624E0,1.868252524E1
1.723009234E1,-5.075475693E0,1.787917137E1,-1.938186288E-1,1.858662928E1
1.723259843E1,-4.127319813E0,1.797966957E1,-2.786741018E0,1.865661310E1
1.723510448E1,-3.232105255E0,1.792942047E1,-5.774479389E0,1.911165181E1
1.723761052E1,-2.429911375E0,1.776670837E1,-7.742575645E0,1.953222653E1
1.724011656E1,-1.714158297E0,1.749362755E1,-7.591827869E0,1.914683248E1
1.724262265E1,-1.019940615E0,1.721127510E1,-6.329913139E0,1.836671091E1
1.724512870E1,-2.994019389E-1,1.701476288E1,-5.573482037E0,1.790685621E1
1.724763474E1,4.692923427E-1,1.690708733E1,-5.252544880E0,1.771042249E1
1.725014078E1,1.390828133E0,1.684008789E1,-4.333401680E0,1.744423496E1
1.725264687E1,2.286342144E0,1.682094574E1,-3.607778311E0,1.735475843E1
1.725515291E1,3.035594702E0,1.681137276E1,-3.904787540E0,1.752382535E1
1.725765896E1,3.730111361E0,1.663908958E1,-4.826622486E0,1.772200095E1
1.726016500E1,4.398007870E0,1.632772446E1,-5.449055195E0,1.776595794E1
1.726267109E1,5.111368179E0,1.590628815E1,-5.417948723E0,1.756389067E1
1.726517713E1,6.167201042E0,1.546122360E1,-4.910371304E0,1.735498632E1
1.726768317E1,7.414460182E0,1.502303791E1,-4.307080746E0,1.729788520E1
1.727018922E1,8.678468704E0,1.454895973E1,-4.179962158E0,1.744878597E1
1.727269531E1,1.008873844E1,1.404377556E1,-4.642076015E0,1.790416558E1
1.727520135E1,1.155165005E1,1.342612743E1,-5.571089268E0,1.856713635E1
1.727770739E1,1.297358513E1,1.275823116E1,-6.727420807E0,1.939960217E1
1.728021343E1,1.438624763E1,1.204935741E1,-7.831110477E0,2.033414435E1
1.728271953E1,1.567418480E1,1.130249786E1,-8.769695282E0,2.122107637E1
1.728522557E1,1.691905022E1,1.053170967E1,-9.361021042E0,2.201817167E1
1.728773161E1,1.808016777E1,9.767801285E0,-9.265308380E0,2.254214604E1
1.729023765E1,1.919342804E1,9.006584167E0,-8.199904442E0,2.273201863E1
1.729274375E1,2.020619011E1,8.180761337E0,-6.301199436E0,2.269185072E1
