"Time (s)","X (hPa)"
3.908704036E2,9.533730316E2
3.917900446E2,9.533863831E2
3.927094276E2,9.534003448E2
3.936288636E2,9.534119415E2
3.945481256E2,9.534226227E2
3.954672426E2,9.534327698E2
3.963864556E2,9.534439087E2
3.973055786E2,9.534528351E2
3.982247556E2,9.534648132E2
3.991439136E2,9.534767914E2
4.000629406E2,9.534907532E2
4.009820346E2,9.535048676E2
4.019013026E2,9.535214233E2
4.028207276E2,9.535358429E2
4.037400256E2,9.535504913E2
4.046594446E2,9.535649872E2
4.055788356E2,9.535810852E2
4.064981866E2,9.535971832E2
4.074175516E2,9.536145020E2
4.083368776E2,9.536299896E2
4.092561576E2,9.536477661E2
4.101754576E2,9.536633301E2
4.110946666E2,9.536775970E2
4.120139366E2,9.536920166E2
4.129331256E2,9.536997986E2
4.138522876E2,9.537007141E2
4.147715626E2,9.537007141E2
4.156908416E2,9.536994934E2
4.166101646E2,9.536952209E2
4.175295456E2,9.536952209E2
4.184489386E2,9.536981964E2
4.193683396E2,9.537039948E2
4.202875856E2,9.537113953E2
4.212069796E2,9.537200165E2
4.221263896E2,9.537342072E2
4.230457316E2,9.537484741E2
4.239649856E2,9.537636566E2
4.248845036E2,9.537797546E2
4.258038726E2,9.537954712E2
4.267233136E2,9.538132477E2
4.276429626E2,9.538309479E2
4.285626286E2,9.538511658E2
4.294821686E2,9.538774109E2
4.304016206E2,9.539076996E2
4.313210036E2,9.539401245E2
4.322403106E2,9.539706421E2
4.331596476E2,9.539972687E2
4.340789256E2,9.540128326E2
4.349983656E2,9.540209198E2
4.359176766E2,9.540212250E2
4.368369376E2,9.540212250E2
4.377561636E2,9.540144348E2
4.386756256E2,9.540118408E2
4.395951446E2,9.540093231E2
4.405144476E2,9.540068054E2
4.414336876E2,9.540056610E2
4.423529956E2,9.540048981E2
4.432721456E2,9.540048981E2
4.441912736E2,9.540043640E2
4.451103786E2,9.540043640E2
4.460297276E2,9.540119171E2
4.469491936E2,9.540231323E2
4.478685506E2,9.540376282E2
4.487880646E2,9.540549469E2
4.497074886E2,9.540747070E2
4.506268976E2,9.540900421E2
4.515463416E2,9.541021729E2
4.524655926E2,9.541146088E2
4.533848356E2,9.541286469E2
4.543042006E2,9.541414642E2
4.552237086E2,9.541536713E2
4.561432576E2,9.541678619E2
4.570628746E2,9.541843414E2
4.579824426E2,9.542003632E2
4.589019616E2,9.542175293E2
4.598212836E2,9.542328644E2
4.607405436E2,9.542499542E2
4.616599156E2,9.542650604E2
4.625793226E2,9.542813110E2
4.634986246E2,9.542960358E2
4.644179346E2,9.543137360E2
4.653373386E2,9.543308258E2
4.662569286E2,9.543482971E2
4.671765206E2,9.543643951E2
4.680962336E2,9.543807983E2
4.690157426E2,9.543985748E2
4.699350036E2,9.544160461E2
4.708542756E2,9.544360352E2
4.717737256E2,9.544574738E2
4.726930916E2,9.544768524E2
4.736124376E2,9.544940186E2
4.745316346E2,9.545095062E2
4.754509056E2,9.545185852E2
4.763702286E2,9.545239258E2
4.772895206E2,9.545281982E2
4.782088316E2,9.545302582E2
4.791282096E2,9.545302582E2
4.800475306E2,9.545302582E2
4.809668596E2,9.545305634E2
4.818861906E2,9.545306396E2
4.828056796E2,9.545310211E2
4.837252006E2,9.545310211E2
4.846446836E2,9.545310211E2
4.855641006E2,9.545326233E2
4.864834896E2,9.545339203E2
4.874029916E2,9.545344543E2
4.883226336E2,9.545354462E2
4.892420866E2,9.545363617E2
4.901616826E2,9.545383453E2
4.910811816E2,9.545425415E2
4.920008266E2,9.545521545E2
4.929205416E2,9.545659637E2
4.938401816E2,9.545810699E2
4.947596106E2,9.545974731E2
4.956790936E2,9.546121216E2
4.965985656E2,9.546252441E2
4.975181966E2,9.546363068E2
4.984379256E2,9.546469879E2
4.993574726E2,9.546579742E2
5.002770226E2,9.546693420E2
5.011968036E2,9.546818542E2
5.021164996E2,9.546945953E2
5.030361826E2,9.547084045E2
5.039559076E2,9.547191620E2
5.048755426E2,9.547267914E2
5.057952116E2,9.547322845E2
5.067150046E2,9.547377014E2
5.076349146E2,9.547389984E2
5.085547626E2,9.547389984E2
5.094745896E2,9.547319794E2
5.103943996E2,9.547248077E2
5.113141616E2,9.547145081E2
5.122340736E2,9.547130585E2
5.131538256E2,9.547130585E2
5.140735636E2,9.547238159E2
5.149933746E2,9.547354126E2
5.159131856E2,9.547524261E2
5.168331166E2,9.547645569E2
5.177530596E2,9.547792053E2
5.186729876E2,9.547962952E2
5.195926766E2,9.548143005E2
5.205124896E2,9.548304749E2
5.214324226E2,9.548481750E2
5.223521416E2,9.548644257E2
5.232721166E2,9.548823547E2
5.241920586E2,9.548995209E2
5.251120096E2,9.549166870E2
5.260319156E2,9.549311066E2
5.269516976E2,9.549460602E2
5.278715606E2,9.549590302E2
5.287914456E2,9.549690247E2
5.297113796E2,9.549797058E2
5.306312796E2,9.549907684E2
5.315513556E2,9.550006104E2
5.324715146E2,9.550094604E2
5.333914746E2,9.550189209E2
5.343112766E2,9.550348663E2
5.352312546E2,9.550530243E2
5.361511156E2,9.550581360E2
5.370711196E2,9.550582123E2
5.379909306E2,9.550582123E2
5.389107596E2,9.550527954E2
5.398308246E2,9.550431824E2
5.407507956E2,9.550431824E2
5.416705836E2,9.550500488E2
5.425904896E2,9.550599670E2
5.435104946E2,9.550701904E2
5.444305656E2,9.550814056E2
5.453504816E2,9.550952911E2
5.462706376E2,9.551130676E2
5.471906576E2,9.551288605E2
5.481107276E2,9.551435089E2
5.490308466E2,9.551574707E2
5.499510946E2,9.551732635E2
5.508712646E2,9.551870728E2
5.517914886E2,9.552021027E2
5.527119336E2,9.552162170E2
5.536322116E2,9.552324677E2
5.545523556E2,9.552483368E2
5.554724916E2,9.552606201E2
5.563927406E2,9.552647400E2
5.573130776E2,9.552768707E2
5.582331016E2,9.552904510E2
5.591531936E2,9.552992249E2
5.600734566E2,9.553098297E2
5.609937096E2,9.553306580E2
5.619140066E2,9.553452301E2
5.628344676E2,9.553580475E2
