"Time (s)","X (hPa)"
2.171510054E2,9.733142853E2
2.180859014E2,9.733084869E2
2.190208644E2,9.733032990E2
2.199559484E2,9.732993317E2
2.208908294E2,9.732943726E2
2.218258684E2,9.732884216E2
2.227608624E2,9.732849884E2
2.252918914E2,9.731958008E2
2.263014464E2,9.731954956E2
2.273110374E2,9.731951904E2
2.283206904E2,9.731929779E2
2.293302304E2,9.731890869E2
2.303398854E2,9.731881714E2
2.305104924E2,9.731879425E2
2.314453394E2,9.731849670E2
2.323800914E2,9.731847382E2
2.333147234E2,9.731845856E2
2.342492604E2,9.731845856E2
2.351837014E2,9.731828308E2
2.361181344E2,9.731813049E2
2.370523354E2,9.731813049E2
2.379866184E2,9.731768036E2
2.389210194E2,9.731748199E2
2.398553464E2,9.731728363E2
2.407896434E2,9.731687164E2
2.417240364E2,9.731654358E2
2.426585474E2,9.731635284E2
2.435929074E2,9.731616211E2
2.445271504E2,9.731616211E2
2.454614924E2,9.731625366E2
2.463957804E2,9.731668854E2
2.473299124E2,9.731721497E2
2.482641484E2,9.731783295E2
2.491983744E2,9.731842804E2
2.501326514E2,9.731892395E2
2.510668414E2,9.731937408E2
2.520009024E2,9.731937408E2
2.529350434E2,9.731935883E2
2.538689824E2,9.731901550E2
2.548027394E2,9.731872559E2
2.557365224E2,9.731826019E2
2.566701064E2,9.731755066E2
2.576036544E2,9.731678772E2
2.585371494E2,9.731614685E2
2.594706334E2,9.731597900E2
2.604041334E2,9.731597900E2
2.613376584E2,9.731599426E2
2.622710344E2,9.731601715E2
2.632043644E2,9.731601715E2
2.641376064E2,9.731579590E2
2.650707454E2,9.731523895E2
2.660040054E2,9.731491852E2
2.669371704E2,9.731469727E2
2.678703414E2,9.731441498E2
2.688034634E2,9.731409454E2
2.697366954E2,9.731398010E2
2.706699554E2,9.731380463E2
2.716030204E2,9.731372070E2
2.725360064E2,9.731372070E2
2.734690424E2,9.731414795E2
2.744019794E2,9.731475067E2
2.753348544E2,9.731559753E2
2.762678944E2,9.731663513E2
2.772007264E2,9.731765747E2
2.781334284E2,9.731859589E2
2.790660434E2,9.731967926E2
2.799988314E2,9.732076263E2
2.809315174E2,9.732189941E2
2.818641884E2,9.732318878E2
2.827970474E2,9.732471466E2
2.837296694E2,9.732608795E2
2.846620884E2,9.732749939E2
2.855945814E2,9.732913208E2
2.865270454E2,9.733097839E2
2.874594404E2,9.733268738E2
2.883918734E2,9.733389282E2
2.893241584E2,9.733484650E2
2.902567514E2,9.733484650E2
2.911891814E2,9.733479309E2
2.921216594E2,9.733401489E2
2.930542114E2,9.733290100E2
2.939868434E2,9.733164215E2
2.949192434E2,9.733055878E2
2.958517854E2,9.732927704E2
2.967841274E2,9.732789612E2
2.977165024E2,9.732677460E2
2.986489034E2,9.732566833E2
2.995811514E2,9.732438660E2
3.005133924E2,9.732299042E2
3.014456494E2,9.732154083E2
3.023780154E2,9.732015991E2
3.033104004E2,9.731864166E2
3.042427214E2,9.731742096E2
3.051749344E2,9.731635284E2
3.061071984E2,9.731538391E2
3.070394394E2,9.731432343E2
3.079716454E2,9.731321716E2
3.089038774E2,9.731207275E2
3.098361634E2,9.731078339E2
3.107683834E2,9.730953217E2
3.117006484E2,9.730822754E2
3.126329114E2,9.730704498E2
3.135651554E2,9.730590057E2
3.144974474E2,9.730477905E2
3.154297474E2,9.730360413E2
3.163619614E2,9.730236816E2
3.172939954E2,9.730120087E2
3.182260984E2,9.730012512E2
3.191582874E2,9.729886627E2
3.200904254E2,9.729775238E2
3.210224094E2,9.729673767E2
3.219545304E2,9.729575348E2
3.228867894E2,9.729475403E2
3.238190464E2,9.729370117E2
3.247511844E2,9.729261780E2
3.256832624E2,9.729148865E2
3.266152634E2,9.729051208E2
3.275472634E2,9.728946686E2
3.284794154E2,9.728848267E2
3.294114394E2,9.728748322E2
3.303434724E2,9.728630066E2
3.312754884E2,9.728500366E2
3.322077394E2,9.728374481E2
3.331400334E2,9.728245544E2
3.340721714E2,9.728124237E2
3.350042394E2,9.728012848E2
3.359361414E2,9.727902222E2
3.368679754E2,9.727782440E2
3.377997204E2,9.727662659E2
3.387316444E2,9.727549744E2
3.396635254E2,9.727420044E2
3.405953624E2,9.727296448E2
3.415271064E2,9.727172852E2
3.424587244E2,9.727049255E2
3.433903914E2,9.726896667E2
3.443219744E2,9.726774597E2
3.452536564E2,9.726650238E2
3.461851974E2,9.726540375E2
3.471168004E2,9.726425171E2
3.480485724E2,9.726315308E2
3.489803294E2,9.726216125E2
3.499121674E2,9.726098633E2
3.508438724E2,9.725971985E2
3.517755414E2,9.725858307E2
3.527072654E2,9.725771332E2
3.536390674E2,9.725657654E2
3.545708284E2,9.725561523E2
3.555026674E2,9.725471497E2
3.564344394E2,9.725371552E2
3.573663454E2,9.725240326E2
3.582983154E2,9.725129700E2
3.592301944E2,9.725035858E2
3.601620984E2,9.724955750E2
3.610939024E2,9.724932098E2
3.620256534E2,9.724893951E2
3.629575674E2,9.724855042E2
3.638895494E2,9.724791718E2
3.648214804E2,9.724726868E2
3.657533134E2,9.724606323E2
3.666851934E2,9.724510193E2
3.676171224E2,9.724426270E2
3.685490784E2,9.724330139E2
3.694810214E2,9.724224091E2
3.704129264E2,9.724117279E2
3.713447804E2,9.724037170E2
3.722765764E2,9.723975372E2
3.732082804E2,9.723964691E2
3.741400904E2,9.723964691E2
3.750721294E2,9.724015045E2
3.760039964E2,9.724047852E2
3.769357224E2,9.724061584E2
3.778674724E2,9.724061584E2
3.787992354E2,9.724056244E2
3.797310314E2,9.724037170E2
3.806630034E2,9.724037170E2
3.815948984E2,9.724038696E2
3.825267924E2,9.724050903E2
3.834586744E2,9.724060059E2
3.843904764E2,9.724080658E2
3.853223134E2,9.724223328E2
3.862542264E2,9.724368286E2
3.871861174E2,9.724509430E2
3.881180254E2,9.724662781E2
3.890497454E2,9.724662781E2
3.899814754E2,9.724621582E2
3.909133794E2,9.724443817E2
3.918453544E2,9.724282074E2
3.927772414E2,9.724083710E2
3.937092124E2,9.723896027E2
3.946411414E2,9.723803711E2
3.955729014E2,9.723719788E2
3.965047764E2,9.723628235E2
3.974365714E2,9.723536682E2
3.983683274E2,9.723448944E2
3.993001524E2,9.723348999E2
4.002318094E2,9.723224640E2
4.011634174E2,9.723093414E2
4.020950784E2,9.722959900E2
4.030269304E2,9.722807312E2
4.039586884E2,9.722692871E2
4.048904284E2,9.722558594E2
4.058221784E2,9.722433472E2
4.067538394E2,9.722312164E2
4.076853624E2,9.722209167E2
4.086168494E2,9.722106171E2
4.095483604E2,9.721984863E2
4.104798644E2,9.721891785E2
4.114112084E2,9.721812439E2
4.123424594E2,9.721717834E2
4.132739074E2,9.721644592E2
4.142054714E2,9.721575928E2
4.151368884E2,9.721492767E2
4.160682024E2,9.721405029E2
4.169995844E2,9.721292114E2
4.179309964E2,9.721171570E2
4.188624144E2,9.721058655E2
4.197938344E2,9.720946503E2
4.207252484E2,9.720854950E2
4.216566054E2,9.720780945E2
4.225880354E2,9.720707703E2
4.235195834E2,9.720620728E2
4.244511114E2,9.720520020E2
4.253825454E2,9.720403290E2
4.263138794E2,9.720252991E2
4.272451464E2,9.720114899E2
4.281765254E2,9.719985962E2
4.291078804E2,9.719903564E2
4.300393224E2,9.719826508E2
4.309707594E2,9.719773102E2
4.319022484E2,9.719721985E2
4.328338594E2,9.719699097E2
4.337653154E2,9.719672394E2
4.346966104E2,9.719672394E2
4.356278834E2,9.719676971E2
4.365592804E2,9.719721985E2
4.374905624E2,9.719743347E2
4.384219304E2,9.719757843E2
4.393533144E2,9.719767761E2
4.402847154E2,9.719770050E2
4.412160454E2,9.719817352E2
4.421474024E2,9.719817352E2
4.430785434E2,9.719776917E2
4.440098554E2,9.719732666E2
4.449412794E2,9.719679260E2
4.458727264E2,9.719532776E2
4.468039484E2,9.719439697E2
4.477352284E2,9.719343567E2
4.486663754E2,9.719247437E2
4.495975944E2,9.719131470E2
4.505288004E2,9.718989563E2
4.514600284E2,9.718845367E2
