"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.774181447E2,4.779940189E1,9.096490843E0,4.425556297E2,1.169999957E0,1.511718750E1,5.000000000E0,5.000000000E0
1.784181448E2,4.779941530E1,9.096492939E0,4.426625633E2,1.169999957E0,1.511718750E1,1.000000000E1,1.000000000E1
1.794181433E2,4.779942771E1,9.096495034E0,4.423064842E2,1.169999957E0,2.109375000E1,5.000000000E0,5.000000000E0
1.804181420E2,4.779944070E1,9.096495872E0,4.431061668E2,1.169999957E0,2.074218750E1,5.000000000E0,5.000000000E0
1.814181412E2,4.779945286E1,9.096492352E0,4.434388084E2,1.360000014E0,2.074218750E1,5.000000000E0,5.000000000E0
1.824181409E2,4.779946568E1,9.096489837E0,4.434984398E2,1.620000005E0,3.582421875E2,1.000000000E1,1.000000000E1
1.834181401E2,4.779947855E1,9.096478689E0,4.433239403E2,1.620000005E0,3.529687500E2,1.000000000E1,1.000000000E1
1.844181385E2,4.779948567E1,9.096465530E0,4.440828514E2,1.590000033E0,3.547265625E2,1.000000000E1,1.000000000E1
1.854181377E2,4.779949087E1,9.096445581E0,4.443960838E2,1.049999952E0,3.448828125E2,5.000000000E0,5.000000000E0
1.864181372E2,4.779949640E1,9.096428482E0,4.444750633E2,9.700000286E-1,2.039062500E1,1.000000000E1,1.000000000E1
1.874181356E2,4.779950692E1,9.096419597E0,4.436264305E2,1.279999971E0,3.515625000E2,1.000000000E1,1.000000000E1
1.884181354E2,4.779951886E1,9.096413562E0,4.437371483E2,1.279999971E0,3.585937500E2,1.000000000E1,1.000000000E1
1.894181339E2,4.779952854E1,9.096404426E0,4.426256981E2,1.279999971E0,4.570312500E0,1.000000000E1,1.000000000E1
1.904181331E2,4.779953869E1,9.096398558E0,4.426807518E2,1.029999971E0,3.515625000E0,1.000000000E1,1.000000000E1
1.914181316E2,4.779955071E1,9.096394870E0,4.428230858E2,1.029999971E0,2.460937500E0,1.000000000E1,1.000000000E1
1.924181309E2,4.779956689E1,9.096389674E0,4.420575829E2,1.649999976E0,3.325781250E2,1.000000000E1,1.000000000E1
1.934181299E2,4.779958336E1,9.096382214E0,4.419050560E2,1.649999976E0,3.336328125E2,1.000000000E1,1.000000000E1
1.944181288E2,4.779959887E1,9.096371485E0,4.421156883E2,1.460000038E0,3.332812500E2,1.000000000E1,1.000000000E1
1.954181281E2,4.779961287E1,9.096364276E0,4.422840233E2,1.440000057E0,3.336328125E2,1.000000000E1,1.000000000E1
1.964181267E2,4.779962544E1,9.096361343E0,4.423189354E2,1.299999952E0,3.343359375E2,1.000000000E1,1.000000000E1
1.974181262E2,4.779963546E1,9.096363941E0,4.430386620E2,1.159999967E0,3.473437500E2,1.000000000E1,1.000000000E1
1.984181252E2,4.779964426E1,9.096369725E0,4.440348778E2,1.250000000E0,3.473437500E2,1.000000000E1,1.000000000E1
1.994181237E2,4.779965645E1,9.096373748E0,4.440218773E2,1.250000000E0,3.473437500E2,1.000000000E1,1.000000000E1
2.004181229E2,4.779966907E1,9.096377855E0,4.438539696E2,1.370000005E0,3.473437500E2,1.000000000E1,1.000000000E1
2.014181223E2,4.779968114E1,9.096381208E0,4.443986473E2,1.370000005E0,3.473437500E2,1.000000000E1,1.000000000E1
2.024181217E2,4.779969006E1,9.096379196E0,4.455389061E2,1.169999957E0,3.157031250E2,1.000000000E1,1.000000000E1
2.034181205E2,4.779969606E1,9.096371569E0,4.470336571E2,1.350000024E0,3.153515625E2,1.000000000E1,1.000000000E1
2.044181191E2,4.779970041E1,9.096362935E0,4.476136131E2,1.169999957E0,3.206250000E2,1.000000000E1,1.000000000E1
2.054181181E2,4.779970364E1,9.096356984E0,4.483738670E2,9.599999785E-1,3.206250000E2,1.000000000E1,1.000000000E1
2.064181178E2,4.779970850E1,9.096354805E0,4.481263084E2,9.399999976E-1,3.213281250E2,1.000000000E1,1.000000000E1
2.074181168E2,4.779971248E1,9.096351201E0,4.473029442E2,7.300000191E-1,3.213281250E2,1.000000000E1,1.000000000E1
2.084181153E2,4.779971852E1,9.096346172E0,4.477547264E2,1.139999986E0,3.216796875E2,1.000000000E1,1.000000000E1
2.094181142E2,4.779972585E1,9.096335527E0,4.478186913E2,1.139999986E0,2.844140625E2,1.000000000E1,1.000000000E1
2.104181138E2,4.779973386E1,9.096324295E0,4.481816063E2,1.269999981E0,2.847656250E2,1.000000000E1,1.000000000E1
2.114181125E2,4.779974015E1,9.096311471E0,4.481866112E2,1.350000024E0,2.847656250E2,1.000000000E1,1.000000000E1
2.124181113E2,4.779974605E1,9.096295629E0,4.478320580E2,1.440000057E0,2.851171875E2,1.000000000E1,1.000000000E1
2.134181106E2,4.779975175E1,9.096279200E0,4.470813255E2,1.440000057E0,2.851171875E2,1.000000000E1,1.000000000E1
2.144181094E2,4.779975423E1,9.096264699E0,4.478630028E2,1.289999962E0,2.780859375E2,1.000000000E1,1.000000000E1
2.154181087E2,4.779975607E1,9.096250869E0,4.480735130E2,1.210000038E0,2.766796875E2,1.000000000E1,1.000000000E1
2.164181086E2,4.779975896E1,9.096237794E0,4.471966209E2,1.090000033E0,2.742187500E2,1.000000000E1,1.000000000E1
2.174181070E2,4.779976169E1,9.096223963E0,4.469213524E2,1.149999976E0,2.773828125E2,1.000000000E1,1.000000000E1
2.184181054E2,4.779976600E1,9.096209127E0,4.458983421E2,1.230000019E0,2.840625000E2,1.000000000E1,1.000000000E1
2.194181048E2,4.779976869E1,9.096193202E0,4.460259666E2,1.230000019E0,2.801953125E2,1.000000000E1,1.000000000E1
2.204181035E2,4.779976919E1,9.096177192E0,4.460517235E2,1.230000019E0,2.791406250E2,1.000000000E1,1.000000000E1
2.214181032E2,4.779977049E1,9.096162440E0,4.460637474E2,1.159999967E0,2.794921875E2,1.000000000E1,1.000000000E1
2.224181020E2,4.779977271E1,9.096146850E0,4.452768211E2,1.230000019E0,2.794921875E2,1.000000000E1,1.000000000E1
2.234181006E2,4.779977594E1,9.096132768E0,4.443537254E2,1.230000019E0,2.794921875E2,1.000000000E1,1.000000000E1
2.244181006E2,4.779977832E1,9.096118687E0,4.437685814E2,1.139999986E0,2.794921875E2,1.000000000E1,1.000000000E1
2.254180982E2,4.779978159E1,9.096104773E0,4.441602440E2,1.120000005E0,2.798437500E2,1.000000000E1,1.000000000E1
2.258623511E2,4.779979513E1,9.096045513E0,4.454144554E2,1.059999943E0,2.826562500E2,1.000000000E1,1.000000000E1
2.271254652E2,4.779968709E1,9.095917102E0,4.535984154E2,2.899999917E-1,2.742187500E2,1.000000000E1,1.000000000E1
2.271665012E2,4.779968805E1,9.095918527E0,4.534517479E2,2.899999917E-1,2.742187500E2,1.000000000E1,1.000000000E1
2.500005842E2,4.779981303E1,9.095785949E0,4.486477814E2,-1.000000000E0,-1.000000000E0,5.400000000E1,5.400000000E1
2.511933642E2,4.779981849E1,9.095781197E0,4.471808014E2,-1.000000000E0,-1.000000000E0,5.400000000E1,5.400000000E1
2.576658432E2,4.779993565E1,9.095189510E0,4.534598541E2,-1.000000000E0,-1.000000000E0,5.400000000E1,5.400000000E1
2.581249771E2,4.779994932E1,9.095674865E0,4.531595116E2,7.200000286E-1,2.742187500E2,1.000000000E1,1.000000000E1
2.591304871E2,4.779990066E1,9.095625328E0,4.486657982E2,1.460000038E0,2.464453125E2,3.000000000E1,3.000000000E1
2.595218771E2,4.779987220E1,9.095624490E0,4.496278954E2,7.200000286E-1,2.700000000E2,5.000000000E0,5.000000000E0
2.605267071E2,4.779987220E1,9.095624490E0,4.483622704E2,0.000000000E0,2.700000000E2,5.000000000E0,5.000000000E0
2.615281512E2,4.779983511E1,9.095642176E0,4.494881248E2,3.199999928E-1,2.974218750E2,5.000000000E0,5.000000000E0
2.625268392E2,4.779983453E1,9.095632620E0,4.483316307E2,1.070000052E0,2.889843750E2,5.000000000E0,5.000000000E0
2.635251042E2,4.779983834E1,9.095617868E0,4.465873070E2,1.679999948E0,2.939062500E2,5.000000000E0,5.000000000E0
2.645286842E2,4.779984316E1,9.095600517E0,4.453247337E2,1.340000033E0,2.935546875E2,5.000000000E0,5.000000000E0
2.655349912E2,4.779984924E1,9.095585682E0,4.451145897E2,1.519999981E0,2.995312500E2,5.000000000E0,5.000000000E0
2.665300612E2,4.779985431E1,9.095570762E0,4.443722801E2,1.029999971E0,2.974218750E2,5.000000000E0,5.000000000E0
