"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.106550550E2,2.993986511E1,-3.807829666E1,1.203619385E1
1.106649920E2,2.964265442E1,-3.787662888E1,1.317700195E1
1.106749290E2,2.964265442E1,-3.787662888E1,1.317700195E1
1.106848650E2,2.936680603E1,-3.781632996E1,1.361785889E1
1.106948020E2,2.936680603E1,-3.781632996E1,1.361785889E1
1.107047390E2,2.924705505E1,-3.796613693E1,1.401428223E1
1.107146750E2,2.924705505E1,-3.796613693E1,1.401428223E1
1.107246120E2,2.892863464E1,-3.812203598E1,1.369677734E1
1.107345490E2,2.892863464E1,-3.812203598E1,1.369677734E1
1.107444850E2,2.873222351E1,-3.869330978E1,1.304351807E1
1.107544220E2,2.873222351E1,-3.869330978E1,1.304351807E1
1.107643590E2,2.857249451E1,-3.935300827E1,1.184729004E1
1.107742950E2,2.857249451E1,-3.935300827E1,1.184729004E1
1.107842320E2,2.852622986E1,-3.976189041E1,1.011285400E1
1.107941690E2,2.852622986E1,-3.976189041E1,1.011285400E1
1.108041050E2,2.826930237E1,-4.007272720E1,8.300109863E0
1.108140420E2,2.826930237E1,-4.007272720E1,8.300109863E0
1.108239790E2,2.828050232E1,-4.060431290E1,6.158020020E0
1.108339160E2,2.828050232E1,-4.060431290E1,6.158020020E0
1.108438520E2,2.833259583E1,-4.070636749E1,3.890258789E0
1.108537890E2,2.833259583E1,-4.070636749E1,3.890258789E0
1.108637260E2,2.838050842E1,-4.114965439E1,2.094787598E0
1.108736620E2,2.838050842E1,-4.114965439E1,2.094787598E0
1.108835990E2,2.850428772E1,-4.090715790E1,1.935668945E0
1.108935360E2,2.850428772E1,-4.090715790E1,1.935668945E0
1.109034720E2,2.881593323E1,-4.082465363E1,2.605468750E0
1.109134090E2,2.881593323E1,-4.082465363E1,2.605468750E0
1.109233460E2,2.933274841E1,-4.044664001E1,3.181091309E0
1.109332820E2,2.933274841E1,-4.044664001E1,3.181091309E0
1.109432190E2,2.954579163E1,-4.005575943E1,3.660705566E0
1.109531560E2,2.954579163E1,-4.005575943E1,3.660705566E0
1.109630910E2,2.967204285E1,-4.005969238E1,4.043395996E0
1.109730280E2,2.967204285E1,-4.005969238E1,4.043395996E0
1.109829650E2,2.956617737E1,-4.000524521E1,3.171081543E0
1.109929010E2,2.956617737E1,-4.000524521E1,3.171081543E0
1.110028380E2,2.956480408E1,-4.008126831E1,1.850769043E0
1.110127750E2,2.956480408E1,-4.008126831E1,1.850769043E0
1.110227120E2,2.979731750E1,-4.021023560E1,5.920410156E-1
1.110326480E2,2.979731750E1,-4.021023560E1,5.920410156E-1
1.110425850E2,2.984190369E1,-4.030084229E1,-3.907470703E-1
1.110525220E2,2.984190369E1,-4.030084229E1,-3.907470703E-1
1.110624580E2,2.984870911E1,-4.011146927E1,-1.205932617E0
1.110723950E2,2.984870911E1,-4.011146927E1,-1.205932617E0
1.110823320E2,3.005335999E1,-4.011569977E1,-1.899963379E0
1.110922680E2,3.005335999E1,-4.011569977E1,-1.899963379E0
1.111022050E2,3.001103210E1,-4.022145081E1,-2.401672363E0
1.111121420E2,3.001103210E1,-4.022145081E1,-2.401672363E0
1.111220780E2,3.023008728E1,-4.006206131E1,-1.768981934E0
1.111320150E2,3.023008728E1,-4.006206131E1,-1.768981934E0
1.111419520E2,3.040318298E1,-3.977064896E1,-7.866821289E-1
1.111518880E2,3.040318298E1,-3.977064896E1,-7.866821289E-1
1.111618250E2,3.021443176E1,-3.978762436E1,5.639648438E-2
1.111717620E2,3.021443176E1,-3.978762436E1,5.639648438E-2
1.111816980E2,3.021690369E1,-3.982670975E1,1.045532227E-1
1.111916350E2,3.021690369E1,-3.982670975E1,1.045532227E-1
1.112015720E2,3.013630676E1,-3.998315811E1,-9.879150391E-1
1.112115090E2,3.013630676E1,-3.998315811E1,-9.879150391E-1
1.112214450E2,2.983833313E1,-4.011470032E1,-1.685302734E0
1.112313820E2,2.983833313E1,-4.011470032E1,-1.685302734E0
1.112413190E2,2.949327087E1,-4.028737640E1,-1.784057617E0
1.112512550E2,2.949327087E1,-4.028737640E1,-1.784057617E0
1.112611920E2,2.907475281E1,-4.042453766E1,-1.219482422E0
1.112711290E2,2.907475281E1,-4.042453766E1,-1.219482422E0
1.112810650E2,2.892042542E1,-4.069981003E1,-1.290771484E0
1.112910020E2,2.892042542E1,-4.069981003E1,-1.290771484E0
1.113009390E2,2.887477112E1,-4.096380997E1,-1.410217285E0
1.113108750E2,2.887477112E1,-4.096380997E1,-1.410217285E0
1.113208120E2,2.861570740E1,-4.107646942E1,-1.557250977E0
1.113307490E2,2.861570740E1,-4.107646942E1,-1.557250977E0
1.113406850E2,2.845576477E1,-4.117668152E1,-1.345947266E0
1.113506220E2,2.845576477E1,-4.117668152E1,-1.345947266E0
1.113605590E2,2.834370422E1,-4.117959213E1,-9.157104492E-1
1.113704950E2,2.834370422E1,-4.117959213E1,-9.157104492E-1
1.113804320E2,2.806117249E1,-4.134660721E1,-5.310668945E-1
1.113903690E2,2.806117249E1,-4.134660721E1,-5.310668945E-1
1.114003050E2,2.796095276E1,-4.145493698E1,-2.192382812E-1
1.114102420E2,2.796095276E1,-4.145493698E1,-2.192382812E-1
1.114201790E2,2.782698059E1,-4.130691910E1,1.425170898E-1
1.114301160E2,2.782698059E1,-4.130691910E1,1.425170898E-1
1.114400520E2,2.754368591E1,-4.166102219E1,8.475341797E-1
1.114499890E2,2.754368591E1,-4.166102219E1,8.475341797E-1
1.114599260E2,2.746922302E1,-4.154214096E1,2.084106445E0
1.114698620E2,2.746922302E1,-4.154214096E1,2.084106445E0
1.114797990E2,2.731434631E1,-4.162352753E1,3.767700195E0
1.114897360E2,2.731434631E1,-4.162352753E1,3.767700195E0
1.114996720E2,2.714982605E1,-4.136885834E1,5.048278809E0
1.115096090E2,2.714982605E1,-4.136885834E1,5.048278809E0
1.115195460E2,2.692094421E1,-4.123135376E1,6.632568359E0
1.115294820E2,2.692094421E1,-4.123135376E1,6.632568359E0
1.115394190E2,2.690690613E1,-4.114821625E1,7.096923828E0
1.115493560E2,2.690690613E1,-4.114821625E1,7.096923828E0
1.115592920E2,2.686064148E1,-4.093824387E1,8.041870117E0
1.115692290E2,2.686064148E1,-4.093824387E1,8.041870117E0
1.115791660E2,2.694432068E1,-4.093228531E1,8.635925293E0
1.115891020E2,2.694432068E1,-4.093228531E1,8.635925293E0
1.115990390E2,2.692839050E1,-4.074877167E1,8.983398438E0
1.116089760E2,2.692839050E1,-4.074877167E1,8.983398438E0
1.116189130E2,2.696522522E1,-4.059690857E1,9.420166016E0
1.116288490E2,2.696522522E1,-4.059690857E1,9.420166016E0
1.116387860E2,2.717576599E1,-4.040502167E1,1.013372803E1
1.116487230E2,2.717576599E1,-4.040502167E1,1.013372803E1
1.116586590E2,2.717576599E1,-4.040502167E1,1.013372803E1
1.116685960E2,2.711470032E1,-4.039088440E1,1.080657959E1
1.116785330E2,2.711470032E1,-4.039088440E1,1.080657959E1
1.116884690E2,2.698356628E1,-4.012810135E1,1.156079102E1
1.116984060E2,2.698356628E1,-4.012810135E1,1.156079102E1
1.117083430E2,2.696620178E1,-4.006121445E1,1.185717773E1
1.117182790E2,2.696620178E1,-4.006121445E1,1.185717773E1
1.117282160E2,2.692900085E1,-3.977400589E1,1.247668457E1
1.117381530E2,2.692900085E1,-3.977400589E1,1.247668457E1
1.117480890E2,2.681431580E1,-3.973460770E1,1.304400635E1
1.117580260E2,2.681431580E1,-3.973460770E1,1.304400635E1
1.117679630E2,2.677061462E1,-3.972841644E1,1.357299805E1
1.117778990E2,2.677061462E1,-3.972841644E1,1.357299805E1
1.117878360E2,2.682029724E1,-3.945075989E1,1.422137451E1
1.117977730E2,2.682029724E1,-3.945075989E1,1.422137451E1
1.118077090E2,2.697459412E1,-3.921479797E1,1.478350830E1
1.118176460E2,2.697459412E1,-3.921479797E1,1.478350830E1
1.118275830E2,2.690351868E1,-3.903836060E1,1.474841309E1
1.118375200E2,2.690351868E1,-3.903836060E1,1.474841309E1
1.118474560E2,2.709309387E1,-3.920651245E1,1.405908203E1
1.118573930E2,2.709309387E1,-3.920651245E1,1.405908203E1
1.118673300E2,2.724516296E1,-3.964397049E1,1.293591309E1
1.118772660E2,2.724516296E1,-3.964397049E1,1.293591309E1
1.118872030E2,2.712763977E1,-4.015837479E1,1.182257080E1
1.118971400E2,2.712763977E1,-4.015837479E1,1.182257080E1
1.119070760E2,2.686418152E1,-4.034646225E1,1.076885986E1
1.119170130E2,2.686418152E1,-4.034646225E1,1.076885986E1
1.119269500E2,2.692778015E1,-4.092406082E1,9.262817383E0
1.119368860E2,2.692778015E1,-4.092406082E1,9.262817383E0
1.119468230E2,2.701344299E1,-4.131479645E1,7.140380859E0
1.119567600E2,2.701344299E1,-4.131479645E1,7.140380859E0
1.119666965E2,2.703340149E1,-4.155651474E1,4.810729980E0
1.119766335E2,2.703340149E1,-4.155651474E1,4.810729980E0
1.119865705E2,2.714726257E1,-4.147973633E1,2.753662109E0
1.119965065E2,2.714726257E1,-4.147973633E1,2.753662109E0
1.120064435E2,2.731727600E1,-4.153860474E1,1.756286621E0
1.120163805E2,2.731727600E1,-4.153860474E1,1.756286621E0
1.120263165E2,2.764125061E1,-4.144851303E1,1.536499023E0
1.120362535E2,2.764125061E1,-4.144851303E1,1.536499023E0
1.120461905E2,2.782789612E1,-4.134965515E1,2.340942383E0
1.120561275E2,2.782789612E1,-4.134965515E1,2.340942383E0
1.120660635E2,2.790589905E1,-4.095896912E1,3.743041992E0
1.120760005E2,2.790589905E1,-4.095896912E1,3.743041992E0
1.120859375E2,2.798643494E1,-4.106540298E1,5.180725098E0
1.120958735E2,2.798643494E1,-4.106540298E1,5.180725098E0
1.121058105E2,2.772578430E1,-4.116223907E1,5.896728516E0
1.121157475E2,2.772578430E1,-4.116223907E1,5.896728516E0
1.121256835E2,2.744822693E1,-4.099906540E1,5.130249023E0
1.121356205E2,2.744822693E1,-4.099906540E1,5.130249023E0
1.121455575E2,2.746037292E1,-4.136159515E1,3.510437012E0
1.121554935E2,2.746037292E1,-4.136159515E1,3.510437012E0
1.121654305E2,2.746003723E1,-4.168792725E1,2.424743652E0
1.121753675E2,2.746003723E1,-4.168792725E1,2.424743652E0
1.121853035E2,2.754093933E1,-4.157629013E1,2.048278809E0
1.121952405E2,2.754093933E1,-4.157629013E1,2.048278809E0
1.122051775E2,2.777479553E1,-4.150645828E1,1.845886230E0
1.122151135E2,2.777479553E1,-4.150645828E1,1.845886230E0
1.122250505E2,2.801661682E1,-4.136581421E1,2.093444824E0
1.122349875E2,2.801661682E1,-4.136581421E1,2.093444824E0
