"Time (s)","X (hPa)"
9.195603783E1,9.533399200E2
9.288544783E1,9.533393097E2
9.381489183E1,9.533330536E2
9.474442883E1,9.533258820E2
9.567390683E1,9.533222961E2
9.660340583E1,9.533175659E2
9.753295883E1,9.533061218E2
9.846246283E1,9.532939911E2
9.939202483E1,9.532898712E2
1.003216648E2,9.532849884E2
1.012514108E2,9.532745361E2
1.021810748E2,9.532643890E2
1.031106278E2,9.532569122E2
1.040402758E2,9.532526398E2
1.049699658E2,9.532482147E2
1.058996218E2,9.532411957E2
1.068291988E2,9.532358551E2
1.077586178E2,9.532300568E2
1.086881118E2,9.532208252E2
1.096176798E2,9.532089233E2
1.105471818E2,9.531981659E2
1.114767238E2,9.531901550E2
1.124060638E2,9.531821442E2
1.133355528E2,9.531700134E2
1.142649858E2,9.531613159E2
1.151945398E2,9.531536865E2
1.161240728E2,9.531421661E2
1.170536638E2,9.531288147E2
1.179831478E2,9.531172943E2
1.189126798E2,9.531054688E2
1.198421448E2,9.530876160E2
1.207718728E2,9.530802155E2
1.217014198E2,9.530666351E2
1.226311118E2,9.530554962E2
1.235607018E2,9.530448914E2
1.244902628E2,9.530387878E2
1.254198908E2,9.530210876E2
1.263496368E2,9.530139160E2
1.272792648E2,9.530007172E2
1.282089488E2,9.529963684E2
1.291387178E2,9.529873657E2
1.300684178E2,9.529845428E2
1.309983168E2,9.529704285E2
1.319280818E2,9.529629517E2
1.328579928E2,9.529447174E2
1.337877428E2,9.529306030E2
1.347175008E2,9.529169464E2
1.356472768E2,9.529057312E2
1.365768308E2,9.528921509E2
1.375064208E2,9.528799438E2
1.384360438E2,9.528694153E2
1.393658548E2,9.528537750E2
1.402956858E2,9.528459930E2
1.412253658E2,9.528340149E2
1.421552748E2,9.528211975E2
1.430851178E2,9.528067017E2
1.440149828E2,9.527882385E2
1.449447268E2,9.527702332E2
1.458745798E2,9.527513123E2
1.468043368E2,9.527368164E2
1.477339938E2,9.527179718E2
1.486636838E2,9.527011871E2
1.495935188E2,9.526908112E2
1.505233898E2,9.526789093E2
1.514531488E2,9.526630402E2
1.523829138E2,9.526570892E2
1.533127548E2,9.526517487E2
1.542425468E2,9.526418304E2
1.551722468E2,9.526310730E2
1.561019208E2,9.526250458E2
1.570318778E2,9.526158142E2
1.579618368E2,9.526073456E2
1.588917148E2,9.525962830E2
1.598213408E2,9.525853729E2
1.607509868E2,9.525745392E2
1.616806378E2,9.525730133E2
1.626102098E2,9.525745392E2
1.635398028E2,9.525752258E2
1.644693958E2,9.525782776E2
1.653988888E2,9.525793457E2
1.663285368E2,9.525793457E2
1.672580578E2,9.525754547E2
1.681876168E2,9.525659180E2
1.691171778E2,9.525616455E2
1.700466148E2,9.525573730E2
1.709760278E2,9.525560760E2
1.719052508E2,9.525553894E2
1.728346228E2,9.525553894E2
1.737639318E2,9.525592041E2
1.746933858E2,9.525600433E2
1.756227028E2,9.525592041E2
1.765522338E2,9.525562286E2
1.774816958E2,9.525543213E2
1.784110148E2,9.525498199E2
1.793401318E2,9.525455475E2
1.802692648E2,9.525455475E2
1.811985468E2,9.525458527E2
1.821278518E2,9.525458527E2
1.830569108E2,9.525469971E2
1.839860668E2,9.525440216E2
1.849152128E2,9.525444031E2
1.858445948E2,9.525444031E2
1.867738668E2,9.525469971E2
1.877030358E2,9.526323700E2
1.886322138E2,9.526536560E2
1.895614688E2,9.526638794E2
1.904908838E2,9.526671600E2
1.914201668E2,9.526671600E2
1.923494468E2,9.525788879E2
1.932787298E2,9.525276184E2
1.942079608E2,9.525066376E2
1.951373198E2,9.525016785E2
1.960665988E2,9.525016785E2
1.969959158E2,9.525018311E2
1.979252048E2,9.525256348E2
1.988545108E2,9.525379181E2
1.997836778E2,9.525379944E2
2.007129228E2,9.525379181E2
2.016422978E2,9.525371552E2
2.025715638E2,9.525320435E2
2.035008498E2,9.525289917E2
2.044300448E2,9.525271606E2
2.053592748E2,9.525257111E2
2.062885788E2,9.525257111E2
2.072179078E2,9.525296783E2
2.081472368E2,9.525324249E2
2.090766028E2,9.525324249E2
2.100060548E2,9.525321198E2
2.109353878E2,9.525312805E2
2.118645988E2,9.525307465E2
2.127937828E2,9.525307465E2
2.137230228E2,9.525356293E2
2.146523048E2,9.525356293E2
2.155815638E2,9.525356293E2
2.165107218E2,9.525382996E2
2.174396618E2,9.525403595E2
2.183687308E2,9.525410461E2
2.192977418E2,9.525429535E2
2.202267998E2,9.525443268E2
2.211559048E2,9.525445557E2
2.220848568E2,9.525445557E2
2.230138848E2,9.525436401E2
2.239430958E2,9.525436401E2
2.248721748E2,9.525497437E2
2.258012658E2,9.525503540E2
2.267305158E2,9.525582886E2
2.276595398E2,9.525634003E2
2.285886688E2,9.525721741E2
2.295178258E2,9.525818634E2
2.304468818E2,9.525921631E2
2.313760208E2,9.526009369E2
2.323050508E2,9.526078796E2
2.332341868E2,9.526167297E2
2.341632888E2,9.526232910E2
2.350924188E2,9.526292419E2
2.360215588E2,9.526295471E2
2.369505978E2,9.526363373E2
2.378796618E2,9.526385498E2
2.388086218E2,9.526435089E2
2.397377098E2,9.526481628E2
2.406669458E2,9.526575470E2
2.415961068E2,9.526641083E2
2.425253038E2,9.526705170E2
2.434541878E2,9.526766968E2
2.443832188E2,9.526808167E2
2.453122828E2,9.526847839E2
2.462413658E2,9.526861572E2
2.471704428E2,9.526891327E2
2.480995268E2,9.526916504E2
2.490286038E2,9.526952362E2
2.499576078E2,9.527005005E2
2.508866758E2,9.527088928E2
2.518158768E2,9.527100372E2
2.527451468E2,9.527165222E2
2.536745208E2,9.527210236E2
2.546037628E2,9.527243805E2
2.555330158E2,9.527256775E2
2.564622038E2,9.527285767E2
2.573914068E2,9.527333069E2
2.583208188E2,9.527349091E2
2.592503578E2,9.527350616E2
2.601797658E2,9.527365875E2
2.611092238E2,9.527350616E2
2.620385498E2,9.527342987E2
2.629680868E2,9.527340698E2
2.638977548E2,9.527342987E2
