"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.211588033E1,2.583882141E1,-3.969145203E1,4.960144043E0
5.212581633E1,2.592735291E1,-3.974063492E1,4.884094238E0
5.213575133E1,2.592735291E1,-3.974063492E1,4.884094238E0
5.214568733E1,2.634236145E1,-3.940792465E1,4.530944824E0
5.215562333E1,2.634236145E1,-3.940792465E1,4.530944824E0
5.216555833E1,2.664399719E1,-3.963314056E1,3.618957520E0
5.217549433E1,2.664399719E1,-3.963314056E1,3.618957520E0
5.218542933E1,2.682289124E1,-3.973482895E1,2.727111816E0
5.219536533E1,2.682289124E1,-3.973482895E1,2.727111816E0
5.220530033E1,2.701643372E1,-3.950895309E1,1.704284668E0
5.221523633E1,2.701643372E1,-3.950895309E1,1.704284668E0
5.222517233E1,2.731159973E1,-3.925009918E1,9.436035156E-1
5.223510733E1,2.731159973E1,-3.925009918E1,9.436035156E-1
5.224504333E1,2.748652649E1,-3.898173523E1,5.971679688E-1
5.225497833E1,2.748652649E1,-3.898173523E1,5.971679688E-1
5.226491433E1,2.776432800E1,-3.898740387E1,6.114501953E-1
5.227485033E1,2.776432800E1,-3.898740387E1,6.114501953E-1
5.228478533E1,2.800743103E1,-3.901127243E1,5.541381836E-1
5.229472133E1,2.800743103E1,-3.901127243E1,5.541381836E-1
5.230465633E1,2.796797180E1,-3.883537674E1,1.063964844E0
5.231459233E1,2.796797180E1,-3.883537674E1,1.063964844E0
5.232452733E1,2.797563171E1,-3.889191818E1,1.375427246E0
5.233446437E1,2.797563171E1,-3.889191818E1,1.375427246E0
5.234440038E1,2.775205994E1,-3.893328094E1,2.420898438E0
5.235433538E1,2.775205994E1,-3.893328094E1,2.420898438E0
5.236427138E1,2.758903503E1,-3.915888214E1,3.298278809E0
5.237420637E1,2.758903503E1,-3.915888214E1,3.298278809E0
5.238414237E1,2.690702820E1,-3.956964493E1,3.986755371E0
5.239407737E1,2.690702820E1,-3.956964493E1,3.986755371E0
5.240401337E1,2.690702820E1,-3.956964493E1,3.986755371E0
5.241394937E1,2.629869080E1,-3.981267548E1,4.809814453E0
5.242388438E1,2.629869080E1,-3.981267548E1,4.809814453E0
5.243382038E1,2.558091736E1,-4.010360336E1,5.476440430E0
5.244375537E1,2.558091736E1,-4.010360336E1,5.476440430E0
5.245369137E1,2.472633362E1,-4.050707245E1,6.381225586E0
5.246362737E1,2.472633362E1,-4.050707245E1,6.381225586E0
5.247356237E1,2.399900818E1,-4.077806091E1,6.893127441E0
5.248349837E1,2.399900818E1,-4.077806091E1,6.893127441E0
5.249343338E1,2.390998840E1,-4.085595322E1,7.269042969E0
5.250336938E1,2.390998840E1,-4.085595322E1,7.269042969E0
5.251330437E1,2.383171082E1,-4.090769577E1,7.183715820E0
5.252324037E1,2.383171082E1,-4.090769577E1,7.183715820E0
5.253317637E1,2.389033508E1,-4.084936142E1,6.997009277E0
5.254311137E1,2.389033508E1,-4.084936142E1,6.997009277E0
5.255304737E1,2.419175720E1,-4.061331177E1,6.656921387E0
5.256298238E1,2.419175720E1,-4.061331177E1,6.656921387E0
5.257291838E1,2.436640930E1,-4.051642609E1,5.768859863E0
5.258285338E1,2.436640930E1,-4.051642609E1,5.768859863E0
5.259278937E1,2.453642273E1,-4.059273529E1,5.379882812E0
5.260272537E1,2.453642273E1,-4.059273529E1,5.379882812E0
5.261266037E1,2.427610779E1,-4.074125290E1,5.952270508E0
5.262259637E1,2.427610779E1,-4.074125290E1,5.952270508E0
5.263253137E1,2.405671692E1,-4.093045425E1,6.335205078E0
5.264246738E1,2.405671692E1,-4.093045425E1,6.335205078E0
5.265240338E1,2.343656921E1,-4.120315170E1,7.148681641E0
5.266233837E1,2.343656921E1,-4.120315170E1,7.148681641E0
5.267227437E1,2.300260925E1,-4.126432800E1,7.767333984E0
5.268220937E1,2.300260925E1,-4.126432800E1,7.767333984E0
5.269214537E1,2.326817322E1,-4.116091537E1,7.885192871E0
5.270208037E1,2.326817322E1,-4.116091537E1,7.885192871E0
5.271201638E1,2.348185730E1,-4.091042709E1,7.913085938E0
5.272195238E1,2.348185730E1,-4.091042709E1,7.913085938E0
5.273188738E1,2.348182678E1,-4.091455841E1,8.120544434E0
5.274182337E1,2.348182678E1,-4.091455841E1,8.120544434E0
5.275175837E1,2.325517273E1,-4.095275879E1,8.172241211E0
5.276169437E1,2.325517273E1,-4.095275879E1,8.172241211E0
5.277162937E1,2.291587830E1,-4.103273392E1,8.340454102E0
5.278156537E1,2.291587830E1,-4.103273392E1,8.340454102E0
5.279150138E1,2.263468933E1,-4.143307495E1,8.797790527E0
5.280143638E1,2.263468933E1,-4.143307495E1,8.797790527E0
5.281137237E1,2.222554016E1,-4.123035812E1,9.312683105E0
5.282130737E1,2.222554016E1,-4.123035812E1,9.312683105E0
5.283124337E1,2.171131897E1,-4.138685989E1,9.815246582E0
5.284117837E1,2.171131897E1,-4.138685989E1,9.815246582E0
5.285111437E1,2.139247131E1,-4.140815353E1,1.035906982E1
5.286105038E1,2.139247131E1,-4.140815353E1,1.035906982E1
5.287098538E1,2.162684631E1,-4.138154221E1,1.075878906E1
5.288092138E1,2.162684631E1,-4.138154221E1,1.075878906E1
5.289085637E1,2.196400452E1,-4.095984650E1,1.086962891E1
5.290079237E1,2.196400452E1,-4.095984650E1,1.086962891E1
5.291072837E1,2.264344788E1,-4.056074524E1,1.059228516E1
5.292066337E1,2.264344788E1,-4.056074524E1,1.059228516E1
5.293059937E1,2.355055237E1,-4.022652435E1,1.068109131E1
5.294053438E1,2.355055237E1,-4.022652435E1,1.068109131E1
5.295047038E1,2.423258972E1,-3.974039841E1,1.084887695E1
5.296040537E1,2.423258972E1,-3.974039841E1,1.084887695E1
5.297034137E1,2.464176941E1,-3.944056702E1,1.078326416E1
5.298027737E1,2.464176941E1,-3.944056702E1,1.078326416E1
5.299021237E1,2.517408752E1,-3.929669571E1,1.039031982E1
5.300014837E1,2.517408752E1,-3.929669571E1,1.039031982E1
5.301008338E1,2.602360535E1,-3.887883377E1,9.264221191E0
5.302001938E1,2.602360535E1,-3.887883377E1,9.264221191E0
5.302995438E1,2.702201843E1,-3.856864548E1,7.960449219E0
5.303989037E1,2.702201843E1,-3.856864548E1,7.960449219E0
5.304982637E1,2.807020569E1,-3.835023499E1,6.667053223E0
5.305976137E1,2.807020569E1,-3.835023499E1,6.667053223E0
5.306969737E1,2.900581360E1,-3.766247177E1,5.413696289E0
5.307963237E1,2.900581360E1,-3.766247177E1,5.413696289E0
5.308956838E1,2.994294739E1,-3.732069778E1,4.145629883E0
5.309950338E1,2.994294739E1,-3.732069778E1,4.145629883E0
5.310943937E1,3.085893250E1,-3.646670151E1,2.590515137E0
5.311937537E1,3.085893250E1,-3.646670151E1,2.590515137E0
5.312931037E1,3.152711487E1,-3.603689957E1,1.515014648E0
5.313924637E1,3.152711487E1,-3.603689957E1,1.515014648E0
5.314918137E1,3.225077820E1,-3.564823532E1,2.665405273E-1
