"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.442061875E0,1.756148071E0,6.030659180E0,-7.358996887E0
1.451997875E0,1.549128571E0,6.347699890E0,-6.274951172E0
1.461933875E0,1.205892334E0,5.891448669E0,-5.180576935E0
1.471868875E0,7.746391296E-1,4.267326050E0,-5.115162964E0
1.481804875E0,9.193881226E-1,4.128863983E0,-5.669310608E0
1.491740875E0,1.156495056E0,5.606291656E0,-4.993316345E0
1.501676875E0,8.225395203E-1,7.569908295E0,-3.451522522E0
1.511612875E0,3.056643677E-1,9.413474579E0,-2.460583191E0
1.521548875E0,-1.080752563E-1,9.306746521E0,-2.142794037E0
1.531483875E0,-5.325924683E-1,9.712103577E0,-2.780767365E0
1.541419875E0,-7.381150818E-1,1.068223618E1,-3.002606049E0
1.551355875E0,-1.209185486E0,9.298513641E0,-2.231559448E0
1.561291875E0,-1.341660004E0,8.422086182E0,-2.415227509E0
1.571227875E0,-9.183403015E-1,8.152796173E0,-3.016227722E0
1.581163875E0,-7.102729797E-1,7.389383698E0,-2.708767090E0
1.591099875E0,-4.137396240E-1,7.945028229E0,-2.313588867E0
1.601034875E0,2.691403198E-1,8.749754791E0,-1.285676422E0
1.610970875E0,2.893482971E-1,9.089697876E0,-7.809260559E-1
1.620906875E0,-1.296304321E-1,1.006432114E1,-1.087189178E0
1.630842875E0,-6.292913818E-1,1.125973526E1,-2.055675201E0
1.640778875E0,-5.757028198E-1,1.249107468E1,-2.979853363E0
1.650714875E0,-7.589218140E-2,1.145283371E1,-3.191513214E0
1.660649875E0,7.753875732E-2,8.919052734E0,-3.568279724E0
1.670585875E0,2.830613708E-1,8.094118195E0,-3.467090149E0
1.680521875E0,1.228645020E0,7.621101837E0,-2.552492065E0
1.690457875E0,2.018702087E0,8.220904541E0,-2.427951050E0
1.700393875E0,1.986369324E0,8.115823059E0,-2.967129822E0
1.710329875E0,1.981878662E0,9.689350891E0,-2.018702087E0
1.720264875E0,2.163301392E0,1.078432388E1,-6.107299805E-1
1.730200875E0,2.075733490E0,1.059945831E1,-1.011147308E0
1.740136875E0,1.174158325E0,1.021565643E1,-2.270328827E0
1.750072875E0,2.830613708E-1,9.601782990E0,-3.608545990E0
1.760008875E0,2.248324585E-1,9.513915710E0,-4.018094330E0
1.769944875E0,9.752220154E-1,8.994944916E0,-3.969894562E0
