"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.874066583E0,-3.159821510E0,-3.268401027E-1,-2.215695143E0
2.884002583E0,-1.081688762E0,-1.163050056E0,-1.732228875E0
2.893938583E0,-9.968436956E-1,-9.378811717E-1,-1.579865694E0
2.903874583E0,-1.116680384E0,-7.743777037E-1,-1.493300676E0
2.913810583E0,-1.294225812E0,-1.155464411E0,-1.693644643E0
2.923746583E0,-1.484848499E0,-1.590535760E0,-2.065259695E0
2.933682583E0,-1.897855401E0,-2.388218880E0,-2.393677473E0
2.943618583E0,-1.894059896E0,-2.361829996E0,-2.438425303E0
2.953553583E0,-1.695141077E0,-1.719339013E0,-2.268228531E0
2.963489583E0,-1.358199596E0,-1.145436883E0,-1.971873164E0
2.973425583E0,-9.399886131E-1,-7.700926065E-1,-1.647929907E0
2.983361583E0,-7.468689680E-1,-1.053110719E0,-1.255181074E0
2.993297583E0,-5.147215128E-1,-1.943176746E0,5.449043587E-2
3.003233583E0,4.671689272E-1,-1.193700552E0,2.234244823E0
3.013169583E0,9.453508854E-1,-3.747100234E-1,2.889075041E0
3.023105583E0,9.028542638E-1,-3.807814717E-1,2.142229080E0
3.033040583E0,7.327365875E-1,-3.440516889E-1,1.527678132E0
3.042976583E0,5.776509047E-1,-3.259065151E-1,1.092549920E0
3.052912583E0,3.620447814E-1,-5.794641972E-1,7.152228951E-1
3.062848583E0,1.877400577E-1,-6.630514860E-1,4.658330083E-1
3.072784583E0,8.766975999E-2,-4.581002295E-1,3.303944468E-1
3.082720583E0,7.997428626E-2,-1.068663076E-1,7.963225991E-2
3.092656583E0,1.735906750E-1,2.691857815E-1,-3.142748773E-1
3.102592583E0,2.546802163E-1,5.531179309E-1,-6.354787350E-1
3.112528583E0,3.073747754E-1,7.300968170E-1,-7.193589807E-1
3.122463583E0,3.012273908E-1,7.590730786E-1,-6.946925521E-1
3.132399583E0,2.624379396E-1,6.916778088E-1,-6.422819495E-1
3.142335583E0,2.395355701E-1,6.213216186E-1,-5.784941912E-1
3.152271583E0,2.727229893E-1,5.809038877E-1,-5.248897076E-1
3.162207583E0,3.737539947E-1,5.886944532E-1,-4.758334160E-1
3.172143583E0,5.229001045E-1,6.491104960E-1,-4.372609258E-1
3.182079583E0,6.967800260E-1,7.346099615E-1,-4.145803750E-1
3.192015583E0,8.721438646E-1,8.661847115E-1,-3.942042589E-1
3.201951583E0,1.014075398E0,9.923415780E-1,-3.798884451E-1
3.211886583E0,1.104351044E0,1.101620436E0,-3.727989197E-1
3.221822583E0,1.120656848E0,1.173934579E0,-3.805119693E-1
3.231758583E0,1.054139972E0,1.235306978E0,-3.809415400E-1
3.241694583E0,9.179944396E-1,1.261182070E0,-3.821833730E-1
3.251630583E0,7.444720864E-1,1.270647645E0,-3.593741357E-1
3.261566583E0,5.320391655E-1,1.308108449E0,-3.357723951E-1
3.271502583E0,3.211582303E-1,1.376123428E0,-3.249363005E-1
3.281438958E0,1.167302579E-1,1.440170050E0,-2.869806886E-1
3.291374958E0,-7.018645108E-2,1.521684766E0,-2.226150334E-1
3.301310958E0,-2.416540682E-1,1.605086207E0,-1.472931057E-1
3.311245958E0,-3.797450960E-1,1.692396522E0,-6.806585938E-2
3.321181958E0,-5.101662278E-1,1.730119586E0,1.853241585E-2
3.331117958E0,-5.953287482E-1,1.742242098E0,7.894989848E-2
3.341053958E0,-4.369883537E-1,2.313788652E0,2.112548053E-2
3.350989958E0,-2.486905605E-1,3.053167582E0,-1.633735001E-1
3.360925958E0,-2.405072004E-1,3.303164244E0,-1.348840743E-1
3.370861958E0,-1.861449778E-1,3.501794338E0,3.506072611E-2
3.380797958E0,-8.911991119E-2,3.538891792E0,1.753491163E-1
3.390733958E0,-3.490139544E-2,3.441566467E0,2.696364820E-1
3.400669958E0,1.251698378E-2,3.347213268E0,2.733406723E-1
3.410604958E0,3.140295297E-2,3.196812630E0,1.907182187E-1
