"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.733175265E2,4.780556934E1,9.095666902E0,6.400361314E2,1.309999943E0,1.961718750E2,1.000000000E1,1.000000000E1
1.743175278E2,4.780556934E1,9.095666902E0,6.400992917E2,0.000000000E0,1.961718750E2,1.000000000E1,1.000000000E1
1.753175297E2,4.780554051E1,9.095641924E0,6.399625809E2,8.199999928E-1,2.000390625E2,1.000000000E1,1.000000000E1
1.763175310E2,4.780553196E1,9.095634129E0,6.400680783E2,7.200000286E-1,2.000390625E2,1.000000000E1,1.000000000E1
1.773175321E2,4.780553145E1,9.095628764E0,6.399645743E2,3.600000143E-1,2.000390625E2,1.000000000E1,1.000000000E1
1.783175340E2,4.780553426E1,9.095621640E0,6.403851990E2,4.900000095E-1,2.000390625E2,1.000000000E1,1.000000000E1
1.793175356E2,4.780553564E1,9.095615940E0,6.402662581E2,3.600000143E-1,2.000390625E2,1.000000000E1,1.000000000E1
1.803175379E2,4.780554679E1,9.095609821E0,6.399833881E2,4.900000095E-1,2.000390625E2,1.000000000E1,1.000000000E1
1.813175386E2,4.780556251E1,9.095600769E0,6.403153450E2,1.250000000E0,3.339843750E2,1.000000000E1,1.000000000E1
1.823175410E2,4.780557663E1,9.095594985E0,6.401749639E2,1.250000000E0,3.396093750E2,1.000000000E1,1.000000000E1
1.833175418E2,4.780557663E1,9.095594985E0,6.399546538E2,0.000000000E0,3.469921875E2,1.000000000E1,1.000000000E1
1.843175441E2,4.780557663E1,9.095594985E0,6.403226970E2,0.000000000E0,3.469921875E2,1.000000000E1,1.000000000E1
1.853175457E2,4.780561108E1,9.095564559E0,6.400767044E2,1.259999990E0,3.012890625E2,1.000000000E1,1.000000000E1
1.863175476E2,4.780561469E1,9.095549388E0,6.401810969E2,1.259999990E0,2.000390625E2,1.000000000E1,1.000000000E1
1.873175490E2,4.780560060E1,9.095534300E0,6.401586609E2,1.259999990E0,1.954687500E2,1.000000000E1,1.000000000E1
1.883175499E2,4.780558371E1,9.095512507E0,6.399533417E2,2.019999981E0,2.039062500E2,1.000000000E1,1.000000000E1
1.893175515E2,4.780558371E1,9.095512507E0,6.364094550E2,0.000000000E0,2.232421875E2,1.000000000E1,1.000000000E1
1.903175541E2,4.780558371E1,9.095512507E0,6.385810154E2,0.000000000E0,2.232421875E2,1.000000000E1,1.000000000E1
1.913175548E2,4.780558371E1,9.095512507E0,6.399287021E2,0.000000000E0,2.232421875E2,1.000000000E1,1.000000000E1
1.923175579E2,4.780558371E1,9.095512507E0,6.399445801E2,0.000000000E0,2.158593750E2,1.000000000E1,1.000000000E1
1.933175585E2,4.780560727E1,9.095444866E0,6.399351703E2,0.000000000E0,2.633203125E2,1.000000000E1,1.000000000E1
1.943175600E2,4.780560727E1,9.095444866E0,6.412072337E2,0.000000000E0,2.633203125E2,1.000000000E1,1.000000000E1
1.953175611E2,4.780560727E1,9.095444866E0,6.411927715E2,0.000000000E0,2.633203125E2,1.000000000E1,1.000000000E1
1.963175629E2,4.780560727E1,9.095444866E0,6.406718924E2,0.000000000E0,2.000390625E2,1.000000000E1,1.000000000E1
1.973175646E2,4.780560727E1,9.095444866E0,6.401790756E2,0.000000000E0,2.000390625E2,1.000000000E1,1.000000000E1
1.983175662E2,4.780563568E1,9.095438076E0,6.402049950E2,5.600000024E-1,2.091796875E2,1.000000000E1,1.000000000E1
1.993175673E2,4.780563631E1,9.095448218E0,6.401869944E2,5.600000024E-1,1.233984375E2,1.000000000E1,1.000000000E1
2.003175695E2,4.780563631E1,9.095448218E0,6.402083897E2,0.000000000E0,1.177734375E2,1.000000000E1,1.000000000E1
2.013175710E2,4.780565291E1,9.095456768E0,6.401797569E2,3.799999952E-1,1.156640625E2,1.000000000E1,1.000000000E1
2.023175722E2,4.780566317E1,9.095454589E0,6.401902665E2,9.900000095E-1,1.406250000E1,1.000000000E1,1.000000000E1
2.033175745E2,4.780567110E1,9.095448134E0,6.402642561E2,4.699999988E-1,3.318750000E2,1.000000000E1,1.000000000E1
2.043175755E2,4.780567495E1,9.095446961E0,6.404001412E2,9.900000095E-1,1.466015625E2,1.000000000E1,1.000000000E1
2.053175774E2,4.780566820E1,9.095442770E0,6.402809587E2,7.300000191E-1,1.553906250E2,1.000000000E1,1.000000000E1
2.063175787E2,4.780566573E1,9.095436651E0,6.402825364E2,2.199999988E-1,1.501171875E2,1.000000000E1,1.000000000E1
2.073175807E2,4.780566678E1,9.095433466E0,6.402395229E2,4.699999988E-1,1.466015625E2,1.000000000E1,1.000000000E1
2.083175822E2,4.780566473E1,9.095429778E0,6.402391898E2,2.099999934E-1,2.320312500E1,1.000000000E1,1.000000000E1
2.093175839E2,4.780566473E1,9.095429778E0,6.402003190E2,0.000000000E0,1.226953125E2,1.000000000E1,1.000000000E1
2.103175851E2,4.780566473E1,9.095429778E0,6.402719656E2,0.000000000E0,1.226953125E2,1.000000000E1,1.000000000E1
2.113175874E2,4.780566473E1,9.095429778E0,6.402733808E2,0.000000000E0,1.226953125E2,1.000000000E1,1.000000000E1
2.123175890E2,4.780566473E1,9.095429778E0,6.402721788E2,0.000000000E0,3.248437500E2,1.000000000E1,1.000000000E1
2.133175899E2,4.780566288E1,9.095391808E0,6.402502743E2,4.399999976E-1,2.685937500E2,1.000000000E1,1.000000000E1
2.143175917E2,4.780566288E1,9.095391808E0,6.402182379E2,0.000000000E0,2.446875000E2,1.000000000E1,1.000000000E1
2.153175933E2,4.780566883E1,9.095386527E0,6.400170718E2,2.099999934E-1,2.840625000E2,1.000000000E1,1.000000000E1
2.163175952E2,4.780566883E1,9.095386527E0,6.401741132E2,0.000000000E0,3.174609375E2,1.000000000E1,1.000000000E1
2.173175963E2,4.780566883E1,9.095386527E0,6.402973302E2,0.000000000E0,3.174609375E2,1.000000000E1,1.000000000E1
2.183175983E2,4.780566883E1,9.095386527E0,6.402126992E2,0.000000000E0,3.174609375E2,1.000000000E1,1.000000000E1
2.193176003E2,4.780566883E1,9.095386527E0,6.400908601E2,0.000000000E0,2.777343750E2,1.000000000E1,1.000000000E1
2.203176012E2,4.780567281E1,9.095372446E0,6.402568177E2,8.299999833E-1,2.977734375E2,1.000000000E1,1.000000000E1
2.213176032E2,4.780568090E1,9.095358029E0,6.401843504E2,1.139999986E0,2.956640625E2,1.000000000E1,1.000000000E1
2.223176043E2,4.780568354E1,9.095352078E0,6.402972136E2,1.139999986E0,2.886328125E2,1.000000000E1,1.000000000E1
2.233176054E2,4.780568442E1,9.095355179E0,6.401479652E2,1.500000060E-1,2.773828125E2,1.000000000E1,1.000000000E1
2.243176082E2,4.780568442E1,9.095355179E0,6.401548266E2,0.000000000E0,2.239453125E2,1.000000000E1,1.000000000E1
2.253176093E2,4.780568212E1,9.095352246E0,6.401919443E2,7.400000095E-1,2.657812500E2,1.000000000E1,1.000000000E1
2.263176109E2,4.780567918E1,9.095349060E0,6.400113925E2,7.400000095E-1,2.453906250E2,1.000000000E1,1.000000000E1
2.273176126E2,4.780567897E1,9.095342690E0,6.399956559E2,7.400000095E-1,2.766796875E2,1.000000000E1,1.000000000E1
