"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.463175875E0,2.901756050E-1,-2.561689151E0,2.486294568E-2
1.473110875E0,-6.489678472E-4,-4.347878462E0,-2.368385464E-1
1.483046875E0,3.372419634E-1,-4.289684633E0,-9.433967900E-1
1.492982875E0,6.663913073E-1,-2.878870195E0,-2.836709431E-1
1.502918875E0,4.126987831E-1,-9.370496374E-1,1.037646013E0
1.512854875E0,4.575530302E-2,6.016942781E-1,1.736964234E0
1.522790875E0,-2.728582719E-1,2.466595298E-1,1.731318747E0
1.532725875E0,-5.854811186E-1,8.343415403E-1,8.430562305E-1
1.542661875E0,-7.585072464E-1,1.463983170E0,6.335671583E-1
1.552597875E0,-1.217405794E0,-8.423849702E-2,1.246273498E0
1.562533875E0,-1.266699284E0,-8.376072103E-1,7.862446833E-1
1.572469875E0,-8.445615962E-1,-1.207364663E0,1.792782632E-1
1.582405875E0,-7.153124025E-1,-1.955751548E0,4.466082850E-1
1.592341875E0,-3.662146246E-1,-1.231589093E0,7.735518399E-1
1.602276875E0,2.312141097E-1,-5.829779255E-1,1.803051219E0
1.612212875E0,1.203620015E-1,-1.891486555E-1,2.112126853E0
1.622148875E0,-4.044165310E-1,8.435702008E-1,1.732978772E0
1.632084875E0,-9.711891907E-1,2.035260233E0,6.705829570E-1
1.642020875E0,-9.426536089E-1,3.196077551E0,-1.891197118E-1
1.651956875E0,-5.929754218E-1,1.687556723E0,-4.706754246E-1
1.661891875E0,-6.225534160E-1,-6.505840176E-1,-9.182651648E-1
1.671827875E0,-4.855680636E-1,-1.441735100E0,-8.058208689E-1
1.681763875E0,3.862996642E-1,-1.738385400E0,4.006015152E-2
1.691699875E0,9.589689486E-1,-1.250296090E0,-1.130924597E-1
1.701635875E0,7.952378471E-1,-1.221530128E0,-5.990750179E-1
1.711571875E0,7.365822342E-1,4.413396513E-1,5.011286008E-1
1.721506875E0,8.683821295E-1,1.377737324E0,1.744003112E0
1.731442875E0,6.303238539E-1,1.109203945E0,1.152530352E0
1.741378875E0,-3.879202200E-1,7.262499118E-1,-1.295570496E-1
1.751314875E0,-1.273728514E0,1.308764738E-1,-1.430854162E0
1.761250875E0,-1.295665367E0,1.226465178E-1,-1.706643497E0
1.771186875E0,-5.466621847E-1,-5.779499048E-1,-1.757507987E0
1.781121875E0,6.831082776E-1,-9.202166730E-1,-4.641929090E-1
1.791057875E0,1.146189046E0,5.382566661E-1,1.705324073E0
1.800993875E0,4.210384110E-1,1.253798572E0,1.959653395E0
1.810929875E0,2.652767721E-1,1.068405583E0,1.366748360E0
1.820865875E0,6.192810948E-1,7.250214118E-1,1.462227398E0
1.830801875E0,2.477867268E-1,8.605885220E-1,1.362797834E0
1.840737875E0,-2.221240282E-1,1.428547289E0,8.777685186E-1
1.850672875E0,-2.496632445E-1,1.369788035E0,7.165485039E-1
1.860608875E0,4.916105032E-2,1.145909257E0,1.032213365E0
1.870544875E0,4.538915768E-1,1.031542981E0,1.385264153E0
